details,date,description,man_hours,type,location_name,grid_ref
Incident Report #79 2003,"Tuesday, 2 December, 2003 - 13:56","We were contacted by a man who had lost his compass and his way. He was located within sight of Easedale Tarn, and guided down.",NA,Fellwalking,Easedale Tarn,NA
Incident Report #78 2003,"Sunday, 2 November, 2003 - 15:44","A young woman collapsed, reported as diabetic and pregnant. Her partner called us for help, but didn't really know where they where. We were given three different locations, 2km apart. We eventually located them just as it was going dark. The woman was very cold, and unable to move; the man cold, but still able to walk. The woman was treated for her hypothermia and evacuated to the valley on our stretcher. The man was given additional clothing and escorted down as well.",NA,Fellwalking,Great Castle How,NA
Incident Report #77 2003,"Thursday, 30 October, 2003 - 02:10","A father and son were reported as missing on a walk from Langdale to Scafell. A search was organised with help from Keswick and Wasdale MRTs and SARDA. After a number of reported sightings by people camping in the area, they were located near Greta Ghyll on the Corridor Route at 6.30am. They were okay, but cold and were evacuated to Wasdale. It turns out that they had got to Scafell by asking directions, but seem to have run out of people to ask for directions back again!",NA,Fellwalking,Central Fells,NA
Incident Report #76 2003,"Wednesday, 29 October, 2003 - 18:08","A couple got separated on the approach to Crinkle Crags. The husband went back to look for his wife, but couldn't find her. We were called to search for her, and she was located at Brotherilkeld. SARDA were also called to help out.",NA,Search,Crinkle Crags,NA
Incident Report #75 2003,"Friday, 24 October, 2003 - 12:06",A woman suffered a diabetic collapse. She was treated by a Paramedic from Cumbria Ambulance Service and evacuated by the team.,NA,Fellwalking,Rydal Lake shore,NA
Incident Report #74 2003,"Thursday, 23 October, 2003 - 12:10","A woman slipped while scrambling. She fell approximately 100 feet, sustaining multiple injuries including suspected pelvic fractures, possible spleen damage, multiple rib fractures, leg fractures, wrist, back and head injuries. She was treated by team members at the scene and airlifted to Whitehaven by the RAF.",NA,Scrambling,Raven Crag,NA
Incident Report #73 2003,"Thursday, 16 October, 2003 - 15:44","A woman slipped while descending, banging her head and fracturing her wrist. She was obviously in a great deal of pain, and was also nauseous. She was treated by team members and stretchered to our ambulance for transport to hospital.",NA,Fellwalking,Spedding Crag,NA
Incident Report #72 2003,"Saturday, 4 October, 2003 - 16:46","A young man was running with two friends when he took a tumble in a disused quarry. He sustained a deep cut to his kneecap. The cut was treated by the Team Doctor, and he was evacuated from the quarry by stretcher. His friends were loaned spare warm clothing and escorted from the hillside at the same time.",NA,Fellrunning,Bank Quarry,NA
Incident Report #71 2003,"Tuesday, 23 September, 2003 - 12:06",A 71-year-old man suffered a diabetic collapse. He was assisted by passers-by until we arrived. Once he had eaten and rested he was assisted to his car. He was checked by a doctor and given the all-clear to drive home.,NA,Fellwalking,Loughrigg Terrace,NA
Incident Report #70 2003,"Friday, 19 September, 2003 - 15:25",A woman in her 60s slipped while descending steep grass and sustained a suspected fracture to her right ankle. It's possible that her totally inappropriate footwear may have contributed to her slip.,NA,Fellwalking,Loughrigg Terrace,NA
Incident Report #69 2003,"Sunday, 14 September, 2003 - 10:57","A man taking part in a mountain trial took a tumble, sustaining a head injury, shoulder injury, and multiple cuts and grazes. We were able to drive very close to him, and didn't have to expend too much energy in rescuing him.",NA,Fellrunning,Oxendale,NA
Incident Report #68 2003,"Wednesday, 10 September, 2003 - 19:05","A man in his 60s sustained a knee injury on Blea Rigg. He was treated by team members, and stretchered down. We had a good turn out, since many team members were en route to a planned training session.",NA,Fellwalking,Blea Rigg,NA
Incident Report #67 2003,"Saturday, 6 September, 2003 - 14:30","A man sustained leg injury on the summit of Helm Crag. He was treated by team members, and stretchered down with help from Kendal MRT.",NA,Fellwalking,Helm Crag,NA
Incident Report #66 2003,"Wednesday, 3 September, 2003 - 17:35","A woman slipped and sustained a fractured tibia and fibula. Her leg was splinted, and she was given pain relief and then evacuated to the valley for onward transport to hospital.",NA,Fellwalking,High Pike,NA
Incident Report #65 2003,"Wednesday, 27 August, 2003 - 20:30","A woman got left behind when she failed to keep up with her party. They reported her missing when they got back. She was reported as having a heart condition. A search was organised, but she turned up back at their hotel, in a taxi, just as we prepared to start. We never did find out where she'd been!",NA,Fellwalking,Easedale Tarn,NA
Incident Report #64 2003,"Tuesday, 19 August, 2003 - 21:12","A man sustained a suspected fractured ankle when he slipped on the lake shore during a family barbecue. An ambulance was called, and treated the man. We were called to assist with the evacuation up the steep ground to were the ambulance was parked.",NA,Ambulance assist,Wray Castle,NA
Incident Report #63 2003,"Saturday, 9 August, 2003 - 17:02",A woman sustained a head injury when she slipped on the descent from Loft Crag. She was treated at the scene and taken to hospital.,NA,Fellwalking,Loft Crag,NA
Incident Report #62 2003,"Saturday, 9 August, 2003 - 10:50","A man fell off the back of his bike after he failed to climb a steep, rocky track, sustaining a head injury in the process. We did our stuff and he was taken to hospital for treatment.",NA,Mountain Biking,Skelghyll,NA
Incident Report #61 2003,"Saturday, 2 August, 2003 - 12:34","A man slipped just below the Bad Step and sustained a deep gash to his lower leg. He was treated by team members then airlifted to hospital by the RAF, who were in the area.",NA,Fellwalking,Bad Step,NA
Incident Report #60 2003,"Friday, 1 August, 2003 - 15:04",A woman slipped and sustained a leg injury. We were able to drive to her and didn't have to expend too much energy.,NA,Fellwalking,Rydal Caves,NA
Incident Report #59 2003,"Sunday, 27 July, 2003 - 15:15","A 19-year-old man slipped and banged his head. He was okay for a while, but then lapsed into unconsciousness. We were called and found him conscious but not quite with it. He was treated with oxygen and evacuated to Carlisle Hospital in an RAF helicopter.",NA,occupational,Easedale Tarn,NA
Incident Report #58 2003,"Sunday, 27 July, 2003 - 14:56","A 58-year-old woman slipped and sustained a deep penetrating wound to her knee. She was treated by team members, evacuated to the valley by stretcher and then taken to hospital in the ambulance of Kendal MRT, who had come to assist.",NA,Fellwalking,Stickle Tarn,NA
Incident Report #57 2003,"Thursday, 17 July, 2003 - 17:44","A 30-year-old male slipped and sustained an injury to his hand. We were able to drive to the scene, and deal with it quickly.",NA,Fellwalking,Scandale,NA
Incident Report #56 2003,"Wednesday, 16 July, 2003 - 16:27","A 14-year-old boy was reported as suffering from the heat. We attended and found someone slightly weary, and a bit hot.",NA,Fellwalking,Mickleden,NA
Incident Report #55 2003,"Friday, 11 July, 2003 - 18:28","A 33-year-old male slipped and sustained a suspected fracture to his shoulder. He was treated by team members and carried down the fell, and then transported to Ambleside for onward transport to Lancaster. We were assisted again by Kendal MRT.",NA,Fellwalking,Swinescar Pike,NA
Incident Report #54 2003,"Thursday, 10 July, 2003 - 14:09","A male walker contacted us to say that he had sustained a leg injury in the vicinity of Heron Pike. When we got there we found that he had a head injury well. He was drifting in and out of consciousness and this was cause for concern. A helicopter was requested to assist, but this had to make a 'precautionary emergency landing' when it suffered a suspected mechanical failure. Eventually it picked up the casualty from near Alcock Tarn. Kendal MRT assisted us as well. His companion, who had gone for help, took some finding, but that's another story.",NA,Fellwalking,Heron Pike,NA
Incident Report #53 2003,"Wednesday, 9 July, 2003 - 00:13","A man suffered a suspected heart attack near the summit of Dove Crag. We called Kendal MRT and a helicopter to help. The helicopter got there before all of us, so all we could do was turn round and walk back down again. He was taken to Carlsisle hospital for treatment.",NA,Fellwalking,Dove Crag,NA
Incident Report #52 2003,"Sunday, 6 July, 2003 - 19:20","A 63-year-old man collapsed with a suspected heart attack. The team attended, along with local first responders, but he was certified dead at the scene by the Team Doctor.
 ",NA,Fellwalking,Ullett Nest,NA
Incident Report #51 2003,"Wednesday, 2 July, 2003 - 14:10","A 71-year-old woman was reported missing from Grasmere. A search was organised and she was eventually located near Loughrigg Tarn.
 ",NA,Search,Grasmere,NA
Incident Report #50 2003,"Monday, 30 June, 2003 - 23:01","A 56-year-old man was reported overdue from his walk to Scafell. His car was found in Langdale. A search was organised and he was eventually located in the upper Esk valley at around 4am by a search dog. He had sustained a head injury, and was suffering from hypothermia. He was treated at the scene and then evacuated to Furness General Hospital by an RAF helicopter.
 ",NA,Search,Central Fells,NA
Incident Report #49 2003,"Saturday, 28 June, 2003 - 17:00","A woman was reported as suffering from severe abdominal pains. Her location was given as Lord Crag, but she was found at Great Rigg, 2.5km away. She evacuated by an RAF helicopter.",NA,Fellwalking,Great Rigg,NA
Incident Report #48 2003,"Saturday, 28 June, 2003 - 11:05",A 66-year-old man slipped and sustained an knee injury. He was treated at the scene and was airlifted to hospital by a helicopter working in the area.,NA,Fellwalking,Gibson Knott,NA
Incident Report #47 2003,"Monday, 23 June, 2003 - 15:06","We were asked to send five team members to assist Kendal MRT in the rescue of a 15-year-old girl, who had fallen in a quarry near Milnthorpe. She was evacuated by air ambulance.",NA,Local Incident,Milnthorpe,NA
Incident Report #46 2003,"Sunday, 22 June, 2003 - 19:48",A 57-year-old American woman slipped on wet grass whilst walking. It's just possible her footwear was unsuitable for the purpose. She sustained a suspected fractured ankle.,NA,Fellwalking,Harry Place,NA
Incident Report #45 2003,"Monday, 9 June, 2003 - 21:50","A 62-year-old man was reported overdue at his accommodation in Little Langdale. He was supposed to have been walking over from Stair in Newlands, but had not arrived. A search was organised, and he was located at Brotherilkeld at around 2am. He was okay, and we got a walk out on a beautiful morning. We got home just as the sun was rising!",NA,Fellwalking,Grasmere area,NA
Incident Report #44 2003,"Wednesday, 4 June, 2003 - 18:42","A 73-year-old man was reported overdue in Grasmere. He was supposed to be walking from Rosthwaite in Borrowdale. He was located at around 11pm and escorted to safety in Grasmere. Keswick MRT were also involved, as were Young Motors, who had to repair our mobile 4 after we had a bit of trouble.",NA,Fellwalking,Grasmere area,NA
Incident Report #43 2003,"Sunday, 1 June, 2003 - 11:52",A 45-year-old man slipped and sustained an ankle injury. He was treated and stretchered from the fell.,NA,Fellwalking,Brock Crag,NA
Incident Report #42 2003,"Saturday, 31 May, 2003 - 12:00","A man was found half-dressed and without shoes, sitting on the side of Easedale Tarn. He may have been there for several days, and appeared to have not eaten. He was escorted from the fell and taken to hospital for further help.",NA,Fellwalking,Easedale Tarn,NA
Incident Report #41 2003,"Friday, 30 May, 2003 - 13:17","A 9-year-old girl had her finger partially severed when she pulled a stone from a cairn. She was treated by members of our team and Kendal MRT, then she was airlifted to hospital for further treatment.",NA,Fellwalking,Ill Bell,NA
Incident Report # 2003,"Wednesday, 28 May, 2003 - 16:30","We received a call via the Police from a man who was requesting help. He only seemed to know that he was in Cumbria. Questioning revealed that he was on Helvellyn. Further investigation revealed that his only problem was that he needed to contact his friend and had run out of credit on his mobile phone. It was suggested that he sort himself out. I understand a different expression was used, but I can't repeat that here.",NA,Fellwalking,Helvellyn,NA
Incident Report #40 2003,"Wednesday, 28 May, 2003 - 12:28",A 13-year-old boy became separated from his family group after they failed to keep up with him. He was located at their planned destination! More a case of parents becoming separated from the kids!,NA,Fellwalking,Silver How,NA
Incident Report #39 2003,"Sunday, 25 May, 2003 - 12:15","A woman in her 60s slipped and sustained a leg injury. We did what we have done a lot of recently, then went home for lunch.",NA,Fellwalking,Lowood,NA
Incident Report #38 2003,"Saturday, 24 May, 2003 - 16:20",A man in his 40s slipped and sustained a leg injury. He was treated by team members and carried down in our ambulance then transferred to a waiting county ambulance.,NA,Fellwalking,Claife Hieghts,NA
Incident Report #37 2003,"Monday, 19 May, 2003 - 13:20",A woman in her 50s slipped and sustained an injury to her ankle. She was treated by team members and carried down.,NA,Fellwalking,Scandale Beck,NA
Incident Report #36 2003,"Saturday, 10 May, 2003 - 14:55",A 13-year-old girl slipped and sustained an injury to her ankle. She was treated by team members and carried down.,NA,Fellwalking,Spedding Crag,NA
Incident Report #35 2003,"Saturday, 26 April, 2003 - 17:43",A 36-year-old woman slipped while descending and sustained an injury to her ankle.,NA,Fellwalking,Huntingstile,NA
Incident Report #34 2003,"Friday, 25 April, 2003 - 20:05","We were asked to assist Patterdale MRT with a search for a man reported as ill in a tent in the Helvellyn area. He was eventually located at Red Tarn, suffering from mild hypothermia.",NA,Search,Raise Beck,NA
Incident Report #33 2003,"Thursday, 24 April, 2003 - 15:08","A boy was reported missing from his family group on Crinkle Crags. We assembled at the bottom of the Band to start to look for him when he was located, sitting on his parents’ car, in the Old Dungeon Ghyll car park.",NA,Fellwalking,Crinkle Crag,NA
Incident Report #32 2003,"Wednesday, 23 April, 2003 - 18:11","A 12-year-old girl left her group, who reported her missing. We assembled and started a search. She was located by the Police at Skelwith Bridge, unharmed. She was reunited with her group, and we went home. A nice evening for a walk out.",NA,Search,Mill Ghyll,NA
Incident Report #31 2003,"Monday, 21 April, 2003 - 22:05","A 29-year-old woman slipped while scrambling in Crinkle Ghyll, falling onto a ledge on her knees. She sustained a suspected fracture to her patella. Regular readers of our website and our Annual Report may be aware of how knees (and eyes!) make me queasy. If I was the character in The 39 Steps, then you could do (almost) what you wanted to my teeth, but I'd tell you anything, or do anything, if you threatened to mess with my knees or eyes! We were assisted by members of Kendal MRT.",NA,Rock Scrambling,Crinkle Crags,NA
Incident Report #30 2003,"Friday, 18 April, 2003 - 14:33","A man in his 30s pulled a rock on to his foot, crushing it badly. He was rescue with assistance from Kendal MRT and a helicopter from RAF Boulmer.",NA,Fellwalking,Crinkle Crag,NA
Incident Report #29 2003,"Friday, 18 April, 2003 - 11:11","Two men were reported as cragfast. We went to assist them, but further contact revealed that they were nearer the Patterdale side, so Patterdale MRT recovered them instead. With the benefit of hindsight, these two could probably have sorted themselves out, if they hadn’t had access to a mobile phone.",NA,Fellwalking,Black Tippet Crag,NA
Incident Report #28 2003,"Thursday, 17 April, 2003 - 18:15",A 73-year-old woman was reported as overdue. We spent some time searching around the area. She turned up safe and well.,NA,Search,Dunmail Raise,NA
Incident Report #27 2003,"Thursday, 17 April, 2003 - 13:08",We received reports of a fallen climber on Pavey Ark. Our investigation revealed only a fallen sheep. It was very dead. You never know what to expect next in mountain rescue.,NA,Rock climbing,Pavey Ark,NA
Incident Report #26 2003,"Wednesday, 16 April, 2003 - 14:15",A boy sustained a deep cut to his leg when he jumped in to a pool at Slater Bridge.,NA,Swimming,Slaters Bridge,NA
Incident Report #25 2003,"Tuesday, 15 April, 2003 - 14:35","A 9-year-old girl fell from a tree and sustained a deep puncture wound in her leg. We did our stuff, but not as high up the hill as is usual.",NA,Fellwalking,Blindtarn Moss,NA
Incident Report #24 2003,"Sunday, 13 April, 2003 - 13:00","A man slipped and fell approximately twenty feet, sustaining suspected fractures to his wrist and lower leg. He was treated and evacuated with assistance from Kendal MRT.",NA,Fellwalking,Pavey Ark,NA
Incident Report #23 2003,"Saturday, 5 April, 2003 - 16:15","A woman slipped while descending, and sustained a suspected fracture to her lower leg. A dozen of us trekked the short way up the fell and did our stuff. I doubt our victim really appreciated the trip down, but the weather has been great recently, not withstanding the previous callout, of course! It was a pleasant round trip.",NA,Fellwalking,Silver How,NA
Incident Report #22 2003,"Tuesday, 1 April, 2003 - 03:42","Have you seen the time! And not an April fool. And full-on appalling weather! A young camper suffered a fit and an ambulance was called. When they realised how far from the road he probably was, they called us. We were on our way when we were alerted to the fact that the young man had recovered, and walked out to meet the ambulance crew. Our help was no longer required so we returned to our beds. It's an hour lost from my life that I'll never recover!",NA,Fellwalking,Mickleden,NA
Incident Report #21 2003,"Saturday, 29 March, 2003 - 14:34","A woman slipped and sustained an ankle injury. We did our stuff, and she was dispatched to hospital. We went home.",NA,Fellwalking,Side Pike,NA
Incident Report #20 2003,"Saturday, 22 March, 2003 - 13:05","A woman slipped while descending and sustained a suspected ankle fracture. The rest is, as they say, history.",NA,Fellwalking,Loughrigg,NA
Incident Report #19 2003,"Saturday, 1 March, 2003 - 15:26",A young girl slipped and banged her head. She was stabilised by her companions and then treated by the team. She was evacuated to hospital by an RAF helicopter.,NA,Fellwalking,Raise Beck,NA
Incident Report # 2003,"Saturday, 1 March, 2003 - 15:00","A couple phoned to say they were lost somewhere in the Great Rigg area. We were just organising a search, and finishing off dealing with the previous casualty, when they were found by people who did know where they where, and how to get down. They led them off. Just as well, because it was getting busy.",NA,Fellwalking,Great Rigg,NA
Incident Report #18 2003,"Saturday, 1 March, 2003 - 14:29","A 46-year-old man slipped and sustained an ankle injury. Luckily (for us!) he was close to the bottom of the track, so we didn't have to go to far.",NA,Fellwalking,Tongue Ghyll,NA
Incident Report #17 2003,"Saturday, 22 February, 2003 - 15:26",An 8-year-old boy fell over backwards and banged his head near the summit of Pavey Ark.,NA,Fellwalking,Pavey Ark,NA
Incident Report #16 2003,"Saturday, 22 February, 2003 - 13:31","A 36-year-old man from Leeds was swimming in Easedale Tarn, and slipped while getting out.",NA,Swimming,Easedale Tarn,NA
Incident Report #15 2003,"Tuesday, 18 February, 2003 - 15:05",A 60-year-old Kendal man collapsed suffering from chest pains.,NA,Fellwalking,Red Tarn,NA
Incident Report #14 2003,"Tuesday, 18 February, 2003 - 12:26",A man in his 50s complained of chest pains just below the bridge on the Stickle Ghyll path.,NA,Fellwalking,Stickle Ghyll,NA
Incident Report #13 2003,"Sunday, 16 February, 2003 - 15:24","A woman slipped near the top of Loughrigg, and sustained a suspected fractured ankle.",NA,Fellwalking,Loughrigg,NA
Incident Report #12 2003,"Saturday, 15 February, 2003 - 13:09",A man in his 50s slipped and dislocated his ankle near the summit.,NA,Fellwalking,Wansfell,NA
Incident Report #11 2003,"Monday, 10 February, 2003 - 19:57","We were called to assist in a search for two women, one of who had broken her leg.",NA,Search,Gt Langdale,NA
Incident Report #10 2003,"Monday, 10 February, 2003 - 15:42",A woman slipped and sustained an ankle injury.,NA,Fellwalking,Blindtarn Moss,NA
Incident Report #9 2003,"Sunday, 9 February, 2003 - 16:43",A paraglider landed heavily after falling around 20 feet. He sustained injuries to his lower back.,NA,Paragliding,Seat Sandal,NA
Incident Report #8 2003,"Wednesday, 22 January, 2003 - 15:54",We were asked to assist the ambulance service with evacuation of a 60-year-old woman who had sustained a leg injury following a slip on wet ground.,NA,Fellwalking,Lowood,NA
Incident Report #7 2003,"Tuesday, 21 January, 2003 - 19:29",Three young men contacted friends by text message to report that they were lost and unable to find a way down.,NA,Fellwalking,Central Fells,NA
Incident Report #6 2003,"Sunday, 19 January, 2003 - 15:47","The team was made aware that two people had become stranded near Crinkle Crags summit, and were unable to make their way down.",NA,Fellwalking,Central Fells,NA
Incident Report #5 2003,"Monday, 13 January, 2003 - 18:31","A 37-year-old lone male walker was reported overdue. A search was organised, with assistance f",NA,Search,Gt Langdale,NA
Incident Report #4 2003,"Monday, 13 January, 2003 - 17:39","Our services were required to help pull an ambulance out of a ditch. It can happen to the best of us! Trust me, it can!",NA,Ambulance assist,Duck Pond,NA
Incident Report #3 2003,"Thursday, 9 January, 2003 - 14:45",A 52-year-old woman slipped and sustained an ankle injury.,NA,Fellwalking,Park Fell,NA
Incident Report #2 2003,"Monday, 6 January, 2003 - 11:06",A woman slipped and sustained an ankle injury. We were called to assist the ambulance with her evacuation.,NA,Fellwalking,Sunny Brow,NA
Incident Report #1 2003,"Saturday, 4 January, 2003 - 14:16",A man slipped on an icy path and sustained a suspected fractured ankle.,NA,Fellwalking,Pike Howe,NA
Incident Report #110 2004,"Friday, 31 December, 2004 - 11:08","A 32-year-old man collapsed, and was unconscious for a short time, possibly as a result of a pre-existing heart condition. He was given oxygen and monitored by team members, and then evacuated to Furness General Hospital by the North West Air Ambulance.",NA,Fellwalking,Stickle Tarn,NA
Incident Report #109 2004,"Tuesday, 28 December, 2004 - 18:17","A family group of seven became lost, having overshot Stake Pass and found themselves descending into Langstrath. They became concerned when the weather deteriorated, and phoned for help. We found them on Stake Pass and assisted them down.",NA,Search,Stake Pass,NA
Incident Report #108 2004,"Tuesday, 28 December, 2004 - 13:10","A man slipped and snapped his patella tendon (that's what he told us, him being a doctor and all). He was stretchered down to an ambulance for onward transport to hospital.
 ",NA,Fellwalking,Loughrigg,NA
Incident Report #107 2004,"Sunday, 26 December, 2004 - 16:45","The occupants of a car phoned the Police when they became stuck on an ice-covered Wrynose Pass. They were concerned that they couldn't get down. A vehicle was dispatched to assist them, but we couldn't find them. It transpired that they had got down the pass by themselves and were making their way to Lancaster. We returned home.
 ",NA,Police assist,Wrynose Pass,NA
Incident Report # 2004,"Sunday, 19 December, 2004 - 13:06","While on the previous rescue, we came across a man who had injured muscles in his back and was unable to walk. He was assisted down as well.
 ",NA,Fellwalking,Loughrigg,NA
Incident Report #106 2004,"Sunday, 19 December, 2004 - 13:06","A woman sustained an ankle injury when she slipped on the path descending Loughrigg. She was treated by team members and evacuated by stretcher.
 ",NA,Fellwalking,Loughrigg,NA
Incident Report #105 2004,"Monday, 13 December, 2004 - 14:45","We were called to attend a woman with an ankle injury. She was walking with her husband. They had passed a grid reference to the Police which put them on Nanny Lane, Troutbeck. The team was dispatched to sort her out. Our first response group couldn't find them. We spoke them again and they admitted that they might not have been quite were they had initially told us. Further questioning located them on the Ambleside side of Wansfell. A second team was dispatched, they were located, and the woman's injury was treated. Grid references and numbers are such a tricky business.",NA,Fellwalking,Wansfell,NA
Incident Report #104 2004,"Friday, 10 December, 2004 - 13:21","The Langdale Ambleside Mountain Rescue taxi service was called out to retrieve a group of eleven people who had accidentally walked off the back of Crinkle Crags and had realised that when they arrived at the bottom of Moasdale they would be inconvenienced by a lack of transport. They were located by a group of team members and escorted down.
 ",NA,Fellwalking,Crinkle Crags,NA
Incident Report #103 2004,"Tuesday, 7 December, 2004 - 13:21","A woman fell five metres after slipping on rocky ground near the summit of the hill. She sustained a head injury as a result. The initial location that we were given by someone at the scene of the incident was approximately 1km out, but we worked it out and she was treated by team members and then airlifted to Carlisle hospital by the RAF.
 ",NA,Fellwalking,Pike O'Blisco,NA
Incident Report #102 2004,"Monday, 6 December, 2004 - 14:48","Two 38-year-old women got stuck in mist on Pavey Ark. A search was organised and they were located by 'Tracker Cooper' who has developed a bit of a knack on recent incidents for outstripping the dogs when it comes to finding the lost. They were escorted down.
 ",NA,Fellwalking,Pavey Ark,NA
Incident Report #101 2004,"Tuesday, 30 November, 2004 - 14:48","A local woman slipped and sustained an ankle injury on a wet, loose path. Her ankle was splinted and she was carried down on a stretcher. It transpired that she had sustained a fractured fibula. We were alerted to this job by a member of Kendal MRT.",NA,Fellwalking,Stickle Tarn,NA
Incident Report #100 2004,"Saturday, 27 November, 2004 - 18:20","A 57-year-old man was reported missing by his friend after they got separated at Angle Tarn. His friend made his way down, but when the man didn't show up we were called. A search was organised and he was quickly located, having been delayed by helping other people down.",NA,Fellwalking,Angle Tarn,NA
Incident Report #99 2004,"Monday, 22 November, 2004 - 00:17","A man was reported missing in the Blea Tarn area. A search was organised with assistance from seven SARDA dogs. He was located, unharmed just after midnight.",NA,Fellwalking,Blea Tarn,NA
Incident Report #98 2004,"Sunday, 21 November, 2004 - 14:03","A 15-year-old boy was reported as suffering from hypothermia in the Langdale Combe/Stake Pass area. The people who reported him at the valley head had taken over two hours to walk down, and the young man had got fed up of waiting, warmed up and had been helped down to the valley by companions. We met him in Mickeleden.",NA,Fellwalking,Stake Pass,NA
Incident Report #97 2004,"Saturday, 20 November, 2004 - 13:25",A man in his 40s sustained a dislocated shoulder when he slipped on frozen ground. We were en-route up the Band when we made aware that a helicopter that had been assisting Keswick MRT in Allen Crag Ghyll had reached the casualty and uplifted him. He was taken to Furness General Hospital.,NA,Fellwalking,Three Tarns,NA
Incident Report #96 2004,"Saturday, 20 November, 2004 - 12:24","A man slipped and sustained a knee injury. We were able to drive to Rydal Cave, and barely had to walk any distance at all. He was evacuated back to Ambleside and transferred to an ambulance.",NA,Fellwalking,Rydal Cave,NA
Incident Report #95 2004,"Friday, 19 November, 2004 - 16:02","A 58-year-old woman slipped and sustained an injury to her ankle. She was treated by team members and carried down. If you've got to loiter waiting to be rescued, you might as well do it on a beautiful winter’s day, with a view of the lake and surrounded by the first snowfall of the season.",NA,Fellwalking,White Craggs,NA
Incident Report #94 2004,"Friday, 19 November, 2004 - 12:41","A flare was sighted by a passer-by, who was familiar with flares, in the vicinity of Loughrigg. A small search was organised, but nothing was found. It was probably the sun reflecting of a high flying jet.",NA,Fellwalking,Loughrigg,NA
Incident Report #93 2004,"Thursday, 18 November, 2004 - 16:01",We were called out to look for a man who was lost on Fairfield. He had phoned for help with his mobile phone. A search was organised in conjunction with SARDA and Patterdale and Kendal MRTs. He was located at Hartsop above How after a couple of hours’ searching. He was escorted off by members of Patterdale MRT.,NA,Search,Fairfield,NA
Incident Report #92 2004,"Thursday, 18 November, 2004 - 11:13","A rare rescue on two counts. Firstly it was before lunch; secondly it was a mountain biker. A young local man fell from his bike when his seat snapped off. He sustained injuries to his shoulder, lower back, pelvic area, knee, and hand. He was treated at the scene by team members and evacuated to hospital by the Great North Air Ambulance.",NA,Mountain Biking,Rydal,NA
Incident Report #91 2004,"Sunday, 14 November, 2004 - 14:27","We were asked to assist the ambulance service with the evacuation of a 58-year-old woman with an ankle injury from a steep, slippery path. They had attended, provided first aid, and we carried her down",NA,Ambulance assist,White Craggs,NA
Incident Report #90 2004,"Saturday, 13 November, 2004 - 15:39","A 54-year-old woman sustained an ankle fracture and suffered the effects of the cold weather between Mart Crag Moor and Pike O'Stickle. The team attended, and with help from a helicopter from RAF Boulmer she was rescued and airlifted to Carlisle hospital.",NA,Fellwalking,Mart Crag Moor,NA
Incident Report #89 2004,"Friday, 12 November, 2004 - 10:30","A large-scale search was organised when a man was reported missing overnight in the Langdale area. He had phoned home late the previous evening saying he was benighted, but was OK and would make his way down next day. When he didn't appear a search was organised. We were assisted by seven SARDA dogs. He was located at 13.30, unharmed.",NA,Fellwalking,Gt Langdale,NA
Incident Report #88 2004,"Thursday, 11 November, 2004 - 02:34",We were requested to assist the Police with a search of fields and footpaths for an 80-year-old woman who had set off to walk a short distance and not arrived at her destination. She was located quickly and returned home. Coniston MRT and SARDA were also involved.,NA,Local Incident,Knipe Fold,NA
Incident Report #87 2004,"Friday, 5 November, 2004 - 18:44","A couple of 19-year-old climbers from Ambleside became stuck when they got to the top of Middlefell Buttress without torches after 4pm. They were unable to locate the way down. Their shouts for help were heard in the valley bottom. They were assisted by a number of other people in the area, who supplied them with torches, and we escorted them down.",NA,Rock climbing,Middlefell Buttress,NA
Incident Report #86 2004,"Thursday, 4 November, 2004 - 14:32","A 58-year-old female from Scotland slipped and sustained an ankle fracture. She was treated by team members, stretchered from the fell and transferred to an ambulance for onward transport to hospital.",NA,Fellwalking,Red Tarn,NA
Incident Report #85 2004,"Tuesday, 2 November, 2004 - 16:46","A group of three became lost on Crinkle Crags. They were unable to find their way off, and weren't exactly certain were they where, so phoned for help. A group of team members located them by homing in on their whistles and torch flashing, and they were escorted down.",NA,Fellwalking,Gt Langdale,NA
Incident Report #84 2004,"Friday, 29 October, 2004 - 18:18","A 21-year-old man from the West Midlands phoned his parents to say that he was benighted at Angle Tarn. His parents phoned for help. We instigated a search and he was eventually located near the summit of Bowfell. We were assisted by Keswick MRT. Santa, if you're checking Christmas lists this early, can he have a torch for Christmas please?",NA,Fellwalking,Gt Langdale,NA
Incident Report #83 2004,"Tuesday, 26 October, 2004 - 12:51",A 33-year-old man slipped on an icy path and sustained a lower leg injury. He was treated by the team and evacuated to an ambulance.,NA,Fellwalking,Troutbeck,NA
Incident Report #82 2004,"Tuesday, 26 October, 2004 - 10:19","We received a call to man who had camped out overnight below Cambridge Crag on Bowfell. He had called for help and an air ambulance was sent. He had become very cold and wet overnight and couldn't move. They couldn't find him, so we were called. We located him, gave him food and drink to warm him up, and then assisted him to walk down.",NA,Fellwalking,Gt Langdale,NA
Incident Report #81 2004,"Sunday, 24 October, 2004 - 16:05","While we were finishing off from the previous rescue we were made aware of a family who were lost in the vicinity of Stickle Tarn. They were cold and unable to find a way down in the mist. They were located just below Stickle Tarn, and escorted to the valley floor.",NA,Search,Stickle Tarn,NA
Incident Report #80 2004,"Sunday, 24 October, 2004 - 14:38",A woman slipped and sustained a suspected ankle fracture on very wet ground. She was treated and evacuated.,NA,Fellwalking,Grasmere,NA
