description,title,year,day,month_str,incident_n,month_n,grid_ref
"The weather was wet and thunder storms were to be expected in the coming hours.The team were contacted by Cumbria Police (CUMPOL) who had been alerted by a concerned parent that one of there family members was overdue from there walk in the Coniston fells.The lone walker was contacted and was able to say that he was safe and well but off track. With help from our SARLOC system ( a text message can be sent to a phone and after following a link, your whereabouts show on our mapping software) the location of the individual was found.A full team call out was not required though due to the deteriorating weather and the on set off nighttime 3 team members left the base to rendezvous with the missing male.Once back at base the family was reunited.This call out was attended by 8 team members and lasted just over 1 1/2 hours.",Torver Common,2017,26,July,23,NA,NA
"The weather was warm though the ground was damp under foot after persistent rain in the morning. The team were contacted by Cumbria Police (CUMPOL) to an incident on the Cumbria Way where a lady had slipped on wet ground and injured her ankle. She was unable to continue.A full team call out was initiated and 3 vehicles left the base to attend to the casualty. We were soon on scene with the casualty. She was treated for injury and stretchered back to the rescue vehicles.On returning to base she was treated by paramedics from the North West Ambulance Service (NWAS), before being taken to Furness General Hospital in Barrow.In total 15 team members attended this rescue which lasted just over 2 hours.",Stable Harvey,2017,26,July,22,NA,NA
After a damp start the weather was easing and the cloud base had risen though the tops were still covered.The team were contacted by CUMPOL (Cumbria Police) to an incident involving a Duke of Edinburgh member who was unable to continue due to injury.A full call out was initiated and two vehicles left the base. At first it was unclear as to where the party were as they had failed to reach there meeting point some hours earlier. We were told that they should have walked over Hole Rake and then down to Tilberthwaite though they had not arrived.One party set off from Hole Rake and the other from Tilberthwaite hoping to find the stricken D of E student.Soon after the teams had been deployed a more accurate location of the party was provided. This location put the group off the path that they should have been on and placed them on Yew Dale fells above White Lady.The team were soon on scene and the male casualty was treated for his knee injury. The team stretchered the young man down to the Waiting Land Rover and rendezvoused with a ambulance from the North West Ambulance Service. In total this call out involved 15team members and lasted just under 4 hours.,Yew Dale Fells,2017,29,June,21,NA,NA
The weather was extremely warm with a few clouds scattered in the sky. The team was contacted by NWAS (North West Ambulance Service) to an incident involving a man whom had collapsed near to the summit of the Old Man of Coniston. A Helimed was immediately requested and a full team call out was initiated.The vehicles set off for Bursting Stone Quarry which is the closest we can get to the summit before we have to disembark and walk. It was reported that the casualties condition was deteriorating so a Search and Rescue Helicopter was requested.The team were soon on scene with a Doctor and Paramedic from the Great North Air Ambulance. Sadly the casualty was unresponsive to treatment and he sadly passed.The team carried the man down to the vehicles and returned him to base to await the police.In total 10 members of Coniston MRT and 8 members of Duddon and Furness MRT attended this incident which lasted just over 4 hours.Our thoughts and prayers are with the gentlemen’s family and friends. We are very sorry for your loss.,Old Man of Coniston,2017,17,June,20,NA,NA
"The weather was great, sunny and warm.The team were contacted by CUMPOL (Cumbria Police) who themselves had been contacted by the RSPCA who had been contacted by a young female that was undertaking studies at Ash Gill Quarry near Tranearth. She had reported a lamb being stuck in the bottom of the Quarry hole with an injured leg.As this was not a life threatening situation a small team was deployed to attend the injured animal. Two team members got access to the hole from a half flooded tunnel. The lamb was placed in a harness and rope rescued out of the quarry bottom.The stricken lamb was carried back to the waiting ambulance and was returned to the farmers mother for further treatment.In total this daring rescue involved 5 team members and lasted 2 1/2 hours. I can inform you that after some rest and recuperation the injured lamb returned to its duties.",Ash Gill Quarry,2017,12,June,19,NA,NA
We had just returned from a rescue at Levers Water when we were contacted by NWAS ( North West Ambulance Service) to an incident involving a young male having seizures while under the influence of narcotics.The location of the casualty was given as the top of the Old Man of Coniston. Again a full team call out was initiated and team members again ascended the fell leaving the vehicles at Bursting Stone Quarry. Due to the reported position and condition of the casualty a Search and Rescue Helicopter had been requested through the correct channels. Every attempt had been made to contact the casualty party to no avail.It soon transpired that the casualty was no where near the summit and was in fact down in the valley bottom in a barn at Tranearth. The base had managed to contact the casualty party and had also been contacted by a local farmer. Two team members who were back at base took 2 paramedics to the scene and the casualty was treated for his seizures and was taken to Furness General Hospital. The Search and Rescue Helicopter was stood down.In total 15 team members attended this rescue which lasted just under 1 1/2 hours.,Tranearth,2017,7,June,18,NA,NA
The weather was fine although recent rain had certainly dampened the ground.The team was contacted by CUMPOL ( Cumbria Police) to an incident involving a young male suffering from exhaustion at the top end of Levers Water. The male was part of a walking group whom had had a full day out on the fells.A full team call out was initiated and 3 team vehicles made there way to Levers Water dam. Team members were quickly on scene and treated the casualty for exhaustion. The team stretchered the casualty back to the waiting vehicles while also escorting the remaining walking group down to the valley bottom.An ambulance from NWAS ( North West Ambulance Service) further examined the patient on returning to base.In total 12 team members attended this rescue which lasted 2 hours.,Levers Water,2017,7,June,17,NA,NA
The weather was warm and the skies were clear. There was a fell running event taking place in the village.The team were contacted by NWAS (North West Ambulance Service) to an incident involving a fell runner from the trail race.It had been reported to NWAS by a Marshall that this male competitor had collapsed.Due to the nature of the incident the first land rover was quickly dispatched and made way to the casualties location. On arrival the team met the casualty and treated him for exhaustion.A NWAS ambulance had been dispatched and we organised to rendezvous with them back at the event medics base at Coniston Hall.In total this call out lasted just over 1 hour and involved 18 team members.,Stable Harvey,2017,4,June,16,NA,NA
It was a very warm sunny day in the lakes.The team were contacted by NWAS to an incident at High Wray where a young man had fallen off his bike and injured his head and possibly his back.A full call out was initiated and the first land rover left the base. On arrival at scene there was a paramedic from NWAS already treating the casualty and an ambulance had been dispatched.Team members were asked to place the casualty in our vacuum mattress. We then secured him to the stretcher. He was then placed in the land rover and driven up the road to the waiting ambulance.This call out involved 11 members of the team and lasted just under 2 hours.,High Wray,2017,25,May,15,NA,NA
It had been a beautiful day in Coniston however a huge bank of cloud had rolled in covering the tops.We were contacted by CUMPOL to an incident near Dow Crag. Two walkers had become disoriented in the mist. It was first thought that it was just simply walkers lost in mist so a Sarloc message was sent to them to provide us with there location. It soon transpired after making contact with the two males that they were not walkers but climbers. They had ascended a climb called ‘C’ Ordinary which climbs Dow Crag from its lowest point and terminates at Easy Terrace. On reaching the terminus of the climb they were unable to locate the descent route.A full team call out was initiated and the team ascended the screes of Dow Crag. Two members of the team climbed up to easy terrace to locate the crag-fast climbers. They were soon located and helped off the crag.This rescue lasted just over 4 hours and involved 10 members of the team.,Dow Crag,2017,24,May,14,NA,NA
The weather was warm and dry with a light breeze.The team were contacted by CUMPOL to an incident involving a lady who had fallen and injured herself while on the fell with her husband. She had sustained an injury to her head and arm.A full team call out was initiated and two vehicles left the base to attend the injured party.On arrival at scene the lady was treated for her injuries and a helimed was requested. This was done due to the nature of the injury suffered.Once the Great North Air Ambulance had landed the lady was transferred in to the care of there doctor and paramedic and she was placed on board. She was then flown to Preston for further treatment.12 team members attended this incident which lasted 3 1/2 hours.v,Torver Common,2017,10,May,13,NA,NA
"The fells were shrouded in mist and light rain was falling.The team were contacted by CUMPOL to an incident involving two females being separated from there party, somewhere on the tops.A full team call out was initiated with three parties ascending the fell at different locations converging mid way between the Old Man and Swirl How.The ladies were soon located at Levers Water having descended from the Hawse. All team members were stood down and returned to base. The other party were located in the Sun Inn having already made there way down. This incident could be avoided with groups just staying together.This incident involved 14 team members and lasted just under 1 1/2 hours.",Old Man of Coniston,2017,16,April,12,NA,NA
"The second warm sunny day in a row meant that many were taking advantage and venturing out into the hills. The Team was contacted by Cumbria Police regarding a gentleman who had fallen near the summit of Black Crag, one of the lower Wainwright hills to the East of Tarn Hows, and was unable to walk.Two vehicles responded and by use of the extensive track network in that area were able to drive to within about 1/4 mile of the casualty site. The injured man was splinted and then carried the the North West Air Ambulance helicopter which had flown in to assist, for his onward journey to Furness General Hospital in Barrow.In total 11 members were involved and the rescue took just under two hours.",Black Crag,2017,9,April,11,NA,NA
"The weather was reasonable for early April, being dry and quite mild. The Team was contacted by NWAS regarding a female who had fallen from a Segway recreational vehicle and sustained a serious leg injury.One of the Team’s Land Rover Ambulances attended quite quickly with more personnel following in a second vehicle, however we were stood down en route as the North West Air Ambulance Team and Forestry staff had the situation under control and our assistance was no longer required. One member who had attended direct assisted with the carry of the casualty to the helicopter.9 members responded and the Team was out for just under an hour",Grizedale Forest,2017,6,April,10,NA,NA
"The weather was rather wet in the morning but was somewhat better in the afternoon. Whilst the Team was on a fund raising activity at Far Sawrey, we were contacted by NWAS regarding a fallen mountain biker with back injuries in Grizedale Forest.The Team attended but was stood down on arrival as the casualty was able to walk to the Ambulance with assistance.",Grizedale Forest,2017,1,April,9,NA,NA
The team were contacted by CUMPOL to an incident involving a male who was concerned about the well being of his friend who was possibly lost on Green Crag.As the location was given as Green Crag it was quickly ascertained that this incident was actually Wasdale MRTs.The team remained on standby till the incident was completed.In the end the male was located safe at home.,Green Crag,2017,25,March,8,NA,NA
It had rained heavily all day and the tops of the fells were cloaked in cloud.The team were contacted by CUMPOL to an incident where a young couple had become lost somewhere between Dow Crag and the Old Man of Coniston.The couple were contacted by the team and there location was found using the Sarloc system (a text is sent to the mobile of the lost party and there location is given on a mapping system).A small hill party ascended the fell and walked the couple back to the team land rovers. The couple were then escorted back to there vehicles at Fell Gate.In total 9 team members attended this rescue which lasted just under 2 hours.,Dow Crag,2017,18,March,7,NA,NA
"It was a damp morning.The team were contacted by CUMPOL to an incident at Tilberthwaite Gorge concerning a dog having fallen in.After being unable to contact the caller a full team call out was initiated to recover the dog from the gorge.On arrival at the scene, the team were met by the couple with their un injured dog. As there was no longer any need for us the team returned to base.In total 9 team members attended this incident which lasted just under an hour.",Tilberthwaite,2017,1,March,6,NA,NA
"It was cloudy and wet with very poor visibility. We were tasked by CUMPOL to an incident involving a couple having become disoriented on the fells in the poor weather.They had ascended the Old Man of Coniston and believed they had followed the ridge along to Swirl How.When the text came through for the notification of the call out, two team members contacted base to say they were all ready out on the fell themselves. Sarloc (a system for locating people by their mobile phone) was used to locate the couple and there position was discovered. They had inadvertently descended the Old Man to Goats Hawse and got lost on the lower slopes between Buck Pike and Dow Crag.The two team members already out, set off for the location provided by the Sarloc grid reference. The rest of the team ascended the Walna Scar track towards Brown Pike with warm clothing. The two parties soon met up on the slopes of Brown Pike and the couple were escorted back to the team vehicles.In total this call out involved 17 members of Coniston MRT and lasted just over 2 hours.","Dow Crag, Buck Pike",2017,19,February,5,NA,NA
"The fell tops were bathed in sunlight. Though cold, in the sunshine it was reasonably warm. Snow still stuck to the summits and in the shadows.The team were initially contacted by NWAS to an incident involving a male having slipped and fallen a considerable distance on the Goats Water side of the Old Man of Coniston.A full team call out was initiated. The team were made aware that the Helimed from Langwathby was attending. The descision was made also to contact the Coastguard as they can provide a winching facility.The location given for the casualty placed him at the northern end of Goats Water. As soon as enough members arrived at the base the first vehicle was ready to leave. By this time Duddon and Furness MRT had also been asked to provide assistance. As we were about to depart a second call out came through involving a female having slipped and dislocating her knee just off the summit of the Old Man of Coniston. A decision was quickly made to contact Langdale and Ambleside MRT and Kendal MRT.The first vehicle left for the male casualty at Goats Water. The five team members of the first Land Rover took the two halves of the stretcher, first aid, medical gasses and the cas bag.The team were in constant contact with the base, helicopters and the neighbouring teams.On arrival at Goats Water it was clear that the casualty was in fact not near the northern end of Goats Water but actually in the broken ground to the eastern side of Goats Water Hawse quite high up.The Helimed landed in the school field in the village as they were unable to land close by. The Coastguard also landed in the School field as they were unable to winch the casualty from the position that they were in.The team made there way to the casualty site and on arrival met 3 passers by who had gone to the assistance of the male one of whom was a trainee team member with a MRT team from Lancashire.They had managed to keep the casualties airway clear and keep him warm. Oxygen was administered to the patient. Team members contacted members from DFMRT to bring ropes and crag kit and a stretcher to the site as they were being lifted nearby by the Coastguard.The Coastguard arrived just off scene with the members from DFMRT and also evacuated the gentleman’s family back to the village. The stretcher party from Coniston MRT who were not on scene at this point were tasked with ascending the fell to the second casualty on the main track of the Old Man of Coniston.As soon as DFMRT arrived on scene with the first casualty a rope system was setup and the casualty was placed in the stretcher. Time was of the essence at this point as the casualties condition was deteriorating. The casualty was lowered down the fell into a position where the Coastguard Helicopter could winch him from.The casualty was winched into the helicopter and was taken back to the School field where he was transferred into the care of the Helimed team. After the gentleman was attended to he was flown direct to Preston Hospital for further treatment.After the helicopter left the area the team members from Coniston MRT and DFMRT and the 3 passers by left the scene and made there way back to the Walna Scar track where the Land Rovers were waiting.While this was ongoing the second casualty was being treated for her injuries by team members from Coniston MRT, DFMRT, Kendal MRT and LAMRT. The casualty was placed in the stretcher and was winched from the scene by the returning Coastguard Helicopter. The lady was flown direct to Barrow in Furness Infirmary for further treatment.After the departure of the Helicopter all team members made there way safely off the fell back to the Coniston MRT base.In total 14 members from Coniston MRT,
14 DFMRT, 7 Kendal MRT and 8 LAMRT assisted with these rescues which lasted just over 5 1/2 hours.Thanks to all that helped on a very difficult day in the Coniston fells.",Goats Hawse & Coniston Old Man,2017,14,February,4,NA,NA
"The weather was clear, sunny and dry after heavy overnight rain had cleared. There was a brisk North Easterly wind blowing making it very cold on the tops, especially out of the sun. The fells were busy with many people taking the advantage of excellent visibility.Coniston MRT was contacted by North West Ambulance Service (NWAS) regarding a male walker who had slipped and sustained a leg injury while ascending The Old Man of Coniston.Having confirmed the casualty’s approximate position, one vehicle left to get treatment and shelter to him as soon as possible, to reduce the potential for hypothermia becoming a problem. Conscious that it was a potentially long carry out with significant obstacles, and with limited numbers responding initially, Duddon & Furness MRT was contacted to boost numbers on the hill and make for a safer and quicker evacuation.The man was treated for a leg injury which had exacerbated an underlying medical history, and was then stretchered down to the various Team vehicles at Bursting Stone Quarry, for transport to the Coniston Team’s HQ, where he was examined further before being handed over to an NWAS Land Ambulance crew for further diagnosis & treatment at Furness General Hospital, Barrow in Furness.The incident took 3 1/4 hours and involved 16 members of Coniston MRT and 14 members of Duddon & Furness MRT","Coniston Old Man,",2017,1,January,1,NA,NA
It was a cool and damp evening.The team were contacted by CUMPOL to an incident where two females had become disoriented in Grizedale forest. There were no reported injuries.It was decided that 3 vehicles would enter the forest at different locations and drive the forest tracks as to find the missing ladies. Two team members also ascended the track that the ladies had taken from Hawkshead.The ladies were soon located and were escorted back to there homestead.In total 12 personnel attended this incident which lasted just under 1 1/2 hours.,"Grizedale Forest,",2017,28,January,2,NA,NA
"The early evening was clear but cold, and it was becoming icy underfoot.
CUMPOL (Cumbria Police) asked us to go to the assistance of a female walker who, due to a medical condition, was unable to continue on her descent of Coniston Old Man. After speaking to her partner we were advised that they could make it to the Walna Scar track from Goats Water. They were well equipped and warm, and would wait for us at the junction.Two vehicles left the base and were able to drive most of the way to the location. On reaching the Casualty on foot, she was made comfortable on the stretcher and taken to the Land Rover. She was then driven to their car and once settled, they were able to follow the Land Rover back down the icy road into the village, when they went on their way.17 Team members attended this incident which took 1 hr 20 minutes",,NA,NA,NA,NA,NA,NA
"It was a beautiful clear sunny day with a cool breeze on the fell tops.
We were tasked by CUMPOL (Cumbria Police) to attend an incident on Coniston Old Man. The actual location was confirmed shortly after the call out to be below Grey Crag, above Coppermines Valley. A young man had fallen at least 100ft from the top of the crag. Fortunately walkers nearby were able to go to his immediate aid and assist us in identifying their exact position.Two Land Rovers were deployed and due to the relatively close vicinity of the incident to the main tourist track, personnel were soon on scene. The GNAA (Great North Air Ambulance) also attended and arrived a little later. The Casualty was assessed and had suffered multiple injuries. He was given pain relief and once stable, was placed in a Vacuum Mattress, and stretchered off the fell side to the helicopter. The young man was then flown to Preston Royal Infirmary.A total of 14 Team members responded to this call out which took 2 1/4hrs.",,NA,NA,NA,NA,NA,NA
Evening was approaching when the team was called by the North West Ambulance Service (NWAS) to an incident near Hawkshead on the slopes of Latterbarrow.A young man had slipped on wet grass on the way down off the summit. He had fallen and suffered an injury to his upper arm.The team were soon on scene and it was quickly recognised that he was in severe pain. He was administered Entonox and morphine for his pain.A doctor from Langdale and Ambleside Mountain Rescue Team (LAMRT) was contacted by the Team Leader to provide further assistance with pain relief as the man was in severe discomfort.Once stable the patient was stretchered down to the waiting land ambulance from NWAS and taken to hospital in Barrow in Furness.In total 21 members attended this incident with 2 members from LAMRT. The incident lasted 2 1/2 hours.,,NA,NA,NA,NA,NA,NA
The team was contacted by the North West Ambulance Service (NWAS) to an incident at Little Langdale.A lady had been visiting Cathedral Quarry and had fallen and injured her arm. She was in severe pain.A full team call out was initiated and the team made way to Cathedral Quarry via Stang End.On arrival the lady was being helped up the track by her friends and so she was able to be treated by team members next to the vehicles. She was given pain relief for her injury so she would be more comfortable.She was helped onboard one of the team Land Rovers and was escorted up to the waiting ambulance from (NWAS). They were waiting on the main road between Coniston and Ambleside.The lady was taken to Lancaster Royal Infirmary for further treatment.In total 14 team members were involved in this incident which lasted just over an hour.,,NA,NA,NA,NA,NA,NA
"With the nights drawing in the team was contacted by Cumbria Police (CUMPOL) to alert us of a party that had become stranded above Levers Water with no torches, and so were unable to continue their walk.A small party was assembled and we drove up to the dam at Levers Water and made way to the party of two to provide them with head torches.We escorted them off the hill and returned them to their vehicle at Fell Gate car park.This call out involved 7 team members and lasted 1 1/2 hours.",,NA,NA,NA,NA,NA,NA
"The weather was extremely wet and windy and the team had all ready been out attending a rescue near to the summit of Dow Crag.Cumbria Police (CUMPOL) contacted the team for the second time, alerting us of another couple who had become lost near the summit of Wetherlam.Initially it had been difficult to contact the party, so a full call out was initiated. More team members arrived at the base and were sent out to search various places on the upper fells. Team members who had already been out on the first rescue ascended the Old Man of Coniston from Goats Hawse.A Sarloc Rescue text had been sent (a text message which provides us with a grid reference of where the party are) but had not yet given us a location for the lost couple.Eventually the grid reference came through, which located the party near to the summit of Wetherlam.Team members who were close to Swirl Hawse were tasked with carrying on to Wetherlam and descend Wetherlam Edge to locate the party, while other team members were driven round to Tilberthwaite to make their way onto the Fell.Once located the couple were warmed with hot drinks and warm clothing. They were then escorted off the Fell back to the Land Rovers down in Tilberthwaite.The two rescues lasted just over 6 hours and involved 17 team members.Duddon and Furness Mountain Rescue Team were also contacted for support though once the location came through they were stood down.",,NA,NA,NA,NA,NA,NA
The fell tops were covered in thick cloud and it had been raining persistently all day.The team was contacted by Cumbria Police (CUMPOL) to a father and son who had become lost climbing the Old Man of Coniston.We were able to send them a Sarloc Rescue message ( a text message which provides us with a grid reference of where the party are) and thus they were located closer to the top of Dow Crag than the summit of the Old Man of Coniston.A small party left the base and made way to the lost party via Goats Water and Goats Hawse.On arrival the party were provided with warm clothing before being escorted down to the waiting Land Rover on the Walna Scar Road.,,NA,NA,NA,NA,NA,NA
"24/10/2018, 14:02Hrs, Holme Fell,The team was contacted by Cumbria Police (CUMPOL) to an incident near Holme Fell.It was reported that a Fell Walker was unconscious and had been vomiting.Due to the serious nature of the incident the team swiftly left the base and made way to Holme Fell.We were quickly on scene with the casualty who was now sat up and conscious. Her vital signs were checked and Oxygen was administered.The lady was stretchered down to the road where we rendezvoused with a Ambulance from the North West Ambulance Service (NWAS).The lady was taken to Furness General Hospital in Barrow for further checks.In total 16 team members attended this rescue which lasted for 2 hours.",,NA,NA,NA,NA,NA,NA
"The weather had deteriorated during the day and the hills were blanketed with low cloud and a steady heavy drizzle had set in.The Team was called by Cumbria Police at 17:15 regarding a party of four who had become stuck while climbing on Dow Crag. Darkness was closing in and the slippery conditions meant that they were struggling to continue, or retreat.A full team call out was activated. The Duty Leader made contact with the party who were about 2/3 the way up C Ordinary route. The first vehicle left the base at approximately 17:35 and a second vehicle left about 10 minutes later. The two parties then made their way to the base of Dow Crag.A small crag team climbed Easy Terrace and abseiled down to the party, who were then roped up to the top of the climb. They were then lowered down Easy Terrace to the base of the crag.Conditions were very tricky with minimal visibility and it was very slippery underfoot, making for a very long and testing rescue. In total 16 members were involved in the incident which lasted 7 hrs 10 minutes.",,NA,NA,NA,NA,NA,NA
"The team was informed by Cumbria Police of an incident concerning a lady having slipped and injured her ankle on her descent of Goats Hawse.A full team call out was initiated, the first team members left the base and made way for the injured party. Due to there being a low number of available team members Duddon and Furness MRT were asked to provide assistance in case of a stretcher carry.On arrival on scene the lady was treated for her injury. Due to other complications with the lady the Team Leader asked for helicopter assistance to speed up the process of getting the lady to hospital.A helimed attended the rescue from Blackpool and were able to provide further medical care for the lady on her journey to hospital in Barrow.This call out involved 11 team members from Coniston MRT and 5 team members from Duddon and Furness MRT. It lasted 3 1/2 hours.",,NA,NA,NA,NA,NA,NA
"The ground was wet underfoot. The team were contacted by Cumbria Police concerning an accident at Goats Water.It was reported that a man had fallen and broken his wrist.A full team call out was initiated, the team left the base and made their way to Goats Water.The team left the vehicles on the Walna Scar track and ascended the fell with the necessary equipment.We were able to contact the gentleman’s party and were told that he was making slow but steady progress down the mountain.When we met the injured man, his wrist was splinted and he was given some pain relief before making his way further down to the team vehicles.On arrival back at base the injured man was transferred into the care of the paramedics from the North West Ambulance Service (NWAS).In total this incident involved 11 team members and lasted 2 1/2 hours.",,NA,NA,NA,NA,NA,NA
"A clear evening on the Coniston fells. The team was contacted by Cumbria Police alerting us of an incident involving a group of five having become lost on their descent of Weatherlam.The group had become misplaced on the descent due to the ever encroaching darkness and had found themselves stuck on steep ground above White Lady.The exact location of the group was found and a small team ascended the fells to help the group off the hill. On arrival the group were given torches and were escorted down to Tilberthwaite where we were met by the team Land Rovers.This call out involved 8 team members and lasted 2 hours.The weather was damp but mild, with mist on the fells initially, but later this cleared to sunny spells.We were contacted in the early hours by Cockermouth MRT, asking if we could send a Team to assist in the search of a missing fell runner. Four Team members left the Base at 5.15am that morning.We were tasked by Keswick MRT to help search Great Gable. We planned to split into two groups, one walking round Napes Needles, the other up Arran Slack, and then rendezvous with Kirby Stephen MRT on the summit, who were covering the main tourist track. However, the fell runner was located on the top of Brandreth, and whilst we were en route there, the casualty was air lifted to Newcastle Royal Infirmary, and we were then stood down.The incident was attended by 4 Team personnel and lasted about 6 hours.",,NA,NA,NA,NA,NA,NA
The team were out marshalling an event in and around Coniston. A call came from Cumbria Police (CUMPOL) informing us of an incident at Tarn Hows. Two children had gone missing in the Tarn Hows area.Due to the serious nature of the incident a full team call out was initiated. Small search parties were assembled within the team and each tasked with a different area.The various teams left the base and made way to Tarn Hows. On arrival we were informed by CUMPOL that the children had been found safe and well.In total 13 team members attended this rescue which lasted 1 hour.,,NA,NA,NA,NA,NA,NA
The skies were heavy with rain.The team was contacted by Cumbria Police (CUMPOL) to an incident on the Old Man of Coniston. A young lady was unable to continue her walk from Eskdale YHA to Hollyhow YHA in the village due to an injury concerning her knee.A full team call out was initiated and the team members made way to assist the young lady down from the Fell.Once on scene the lady’s leg was splinted and she was stretchered down off the fell to Bursting Stone Quarry to the waiting land rovers.Once at the base the young lady was transferred into the care of paramedics from the North West Ambulance Service (NWAS). They took her to Furness General Hospital in Barrow for further treatment.This call out involved 12 team members and lasted 3 hours.,,NA,NA,NA,NA,NA,NA
The team were contacted by Cumbria Police (CUMPOL) as regards to a passer by reporting an injured dog at Paddy End. Paddy End lies in the Coppermines Valley.The informant was contacted and it transpired that the dog was one of the local farmers. The farmer managed to scramble down and help rescue his dog without assistance.This call out involved 5 team members and lasted a 1/2 hour.,,NA,NA,NA,NA,NA,NA
It was a beautiful day on the fells around Coniston. A team member was accompanying a group of people from the South Cumbria Rivers Trust on a walk around Levers Water to look at the various areas from which it is filled. The team member had parked one of the teams mobiles at Paddy End just above the Water Treatment Plant.On descent down the main track from Levers Water the team member came across a young lady who had been walking with her family. She had slipped and injured her ankle. Her father had seen the Mountain Rescue Land Rover parked up and had descended to see if there was anyone with it.The team member descended quickly and spoke to the father who informed him that he had rung the police and told them of the incident concerning his daughter.The team member contacted the police control room via airwave and told them he was on the scene and would deal with it directly. An ambulance was also requested.A full team call out was not initiated though some members of the team were contacted directly to provide safe journey for the rest of the family and the group from the South Cumbria Rivers Trust.The team member drove the vehicle up the track to Levers Water where he gave first aid and helped the casualty into the team vehicle. The team member then descended the track with the young lady and her father.Once at base the casualty was transferred into the care of paramedics from the North West Ambulance Service (NWAS) and taken to Furness General Hospital in Barrow for further treatment.In total this call out involved 6 team members and lasted 1 hour and 20 minutes.,"Levers Water, SD",NA,NA,NA,NA,NA,NA
The team were alerted to an incident of man having broken his leg while falling from his bike.The incident was brought to our attention by Cumbria Police (CUMPOL).The team were quickly on scene and the man was checked over before being stretchered to the waiting ambulance from from the North West Ambulance Service (NWAS). The gentleman was taken to Furness General Hospital in Barrow for further treatment.In total this incident involved 15 team members and lasted 1 1/2 hours.,,NA,NA,NA,NA,NA,NA
The team was contacted by the North West Ambulance Service (NWAS) for assistance to help a lady who had injured her ankle from her garden and down to the Ambulance.The team were more than happy to help the injured lady.In total 12 members attended and the incident lasted a 1/2 hour.,,NA,NA,NA,NA,NA,NA
The ground was damp underfoot.The team was contacted by the North West Ambulance Service (NWAS) to an incident between Tarn Hows and Glen Mary. It had been reported that the lady had fallen and damaged her ankle and was unable to continue her walk.A full team call out was initiated and two of the team vehicles left the base. On arrival the lady was treated for her injury and stretchered to the waiting Ambulance.In total this call out involved 14 team members and lasted just over 1 1/2 hours.,,NA,NA,NA,NA,NA,NA
"The weather had deteriorated from a showery morning to a rather wet and blustery afternoon.At approx. 14:00 hrs the Team was contacted by Cumbria Police regarding a lady who had slipped while descending from The Old Man of Coniston with three friends and sustained a knee injury. On contacting the casualty party, it transpired that the lady was still trying to walk down but was struggling.Given the conditions, a full team call out was made and the team made their way to the scene, meeting the casualty party just below Low Water. The lady had tried very hard to make her own way down with support from her colleagues, but progress was extremely slow. Because the weather was so poor and there was a risk of hypothermia setting in with the casualty and her friends, the decision was taken to splint the lady’s leg, and stretcher her down to the Vehicles at Windy Gap.Once in our vehicles we all returned to our base in Coniston where we transferred the casualty into the care of a North West Ambulance Service Land Ambulance crew who examined her and took her to Furness General Hospital for further assessment and treatment.9 members attended and the incident lasted approx. 2 hours 30 minutes",,NA,NA,NA,NA,NA,NA
The team were contacted by Cumbria Police ( CUMPOL) to an incident at Dale Park concerning a lady having fallen and cut her head whilst competing in a orienteering event.A full team call out was initiated and two land rovers made their way to the incident.Once on arrival the lady was treated for her injuries and stretchered down to the team vehicle. She was then transferred into the care of Paramedics from the North West Ambulance Service (NWAS) who assessed her before taking her to Furness General Hospital in Barrow for further treatment.This call out involved 14 team members and lasted 2 hours.,,NA,NA,NA,NA,NA,NA
There was cloud covering the summits of the fells.The team was contacted by Cumbria Police (CUMPOL) to a incident involving a Fell runner whom had become disoriented whilst descending the summit of the Old Man of Coniston.The leader on duty contacted the individual whom by then had descended to his vehicle at Fell gate.This incident lasted 10 minutes and needed 1 team member.,,NA,NA,NA,NA,NA,NA
23/07/2018 & 24/07/2018The team leader was contacted by a local farmer to see whether the rescue team would come to the aid of one of his sheep. The sheep had become Crag fast on Raven Tor.Two team members ascended the fell but turned back due to poor weather. They ascended the fell on the second day and after scrabbling around the crags of Raven Tor were unable to locate the sheep.This incident involved 2 team members and lasted 6 hours in total.,,NA,NA,NA,NA,NA,NA
A fine day on the fells around Coniston Water.The team were called to assist a Fell Walker who had sprained his ankle at the dam at Levers Water.Two vehicles left the base and drove up the Coppermine Valley up to Levers Water. The gentleman was treated for his injury and driven back to base to rendezvous with a friend who would take him to hospital in Barrow.In total this incident involved 9 team members and lasted 1 hour.,,NA,NA,NA,NA,NA,NA
"The team were contacted late on Tuesday afternoon by the North West Ambulance Service (NWAS) to an incident of a male having jumped into the water at Hodge Close Quarry in Tilberthwaite.A full team call out was initiated and along with the Police, Fire and Rescue, NWAS and the Great North Air Ambulance we attended the scene.On arrival we provided assistance with gaining access to the quarry and escorted the gentleman’s friends out of the quarry bottom to safety.Sadly it was soon apparent that the man in question had not survived. We assisted the Police with help from the Coniston Fire and Rescue team with the extraction of the young man.In total this call out involved 16 team members and numerous personnel from Cumbria Police, Fire and Rescue, North West Ambulance Service, Great North Air Ambulance and the Coastguard. This incident lasted 7 1/2 hours.",,NA,NA,NA,NA,NA,NA
