incident,n_incident,loc
A group of walkers were descending Robinson on the ridge towards Blea Crags when one of the party slipped and went over on his ankle. He was unable to weight bear and walk any further so a 999 call was made for assistance. On arrival pain relief was provided by the team and the ankle assessed and strapped. Sledging the stretcher down a steep grassy slope brought the casualty to the team vehicles. After transferring the group to their car they made their own way to Carlisle hospital for a further check up. 16 team members – 2 hours 56 minutes,,blea-crags-robinson
"A father and son were ascending Sharp Edge, on Blencathra, when the father slipped and fell most of the way down the north gully. A witness to the accident called 999 and Helimed 58 was immediately dispatched and delivered a doctor to the scene in a very short space of time. In the meantime the son had scrambled down to help his father as best as he could. The air ambulance then returned to Mousthwaite Combe and picked up several Keswick team members taking them to the casualty site. While the medical team were treating the man’s serious injuries Coast Guard helicopter support was requested to winch the casualty out of the gully. Unfortunately this plan had to be abandoned due to turbulent wind conditions. So after packaging, the casualty was lowered on a stretcher to a safe area and loaded onto Helimed 58 who flew the man to Newcastle Royal Victoria Infirmary. 14 team members – 3 hours 29 minutes",,sharp-edge-blencathra
"A female was reported to have fallen several metres on wet rock near the summit of Catbells. This caused some cuts to her face and a suspected broken thumb which were treated by the team paramedic and doctor. Although shaken by the experience she was able to walk off with assistance, and then taken by her family to Carlisle hospital for further checks. 17 team members – 1 hour 45 minutes  ",,catbells
"A group of four men set off from Kettlewell at the south end of Derwentwater to kayak to St Herbert’s Island for a night out camping. One capsized and two others were put into difficulty trying to rescue him. A photographer on the shore fortunately witnessed the events before the impending darkness and alerted emergency services. Keswick MRT launched their rescue boat from Keswick boat landings and another from Derwentwater Marina in Portinscale. The three in the water were found very cold but conscious thanks to them waving a phone light and shouting (it was dark by this time). They were recovered from the water, very cold in limited clothing and brought to shore. Meantime the location of the fourth member of the party on St Herbert’s Island was pinpointed using phone find and he was then recovered safely by the Fire and Rescue boat. Once all four were accounted for the coast guard helicopter that was en route to help the search was stood down. All were delivered to the ambulance service for onward care. 19 team members plus numerous Fire Service, Coast Guard, Police, and ambulance personnel – 2 hour 10 minutes",,derwentwater
"Two parents and their 14 year old were ascending Dale Head when the boy walked ahead with the intention of waiting for them near the summit. Unfortunately they could not find him and after 30 minutes of searching in intermittent cloud and strong winds the parents called 999 requesting assistance. Three teams plus search dogs were deployed to different locations to begin the search. One of the teams was parking the Land Rover at the end of the miners track on the north side of Dale Head when a person seemed to appear from nowhere. Dressed in a red jacket and black overtrousers the immediate thought was that it was a Keswick MRT member, however it turned out it was the missing boy. All search teams were stood down and two team members were tasked with reuniting the boy with his parents who were still on top of Dale Head. A happy ending with everyone back in time for dinner. 20 team members – 3 hours 22 minutes",,dale-head
"Two 19 year olds and a dog became crag fast whilst attempting to climb Sharp Edge and called 999 for Mountain Rescue help. Despite it being a reasonable day (not raining) they found themselves unable to move up or down on the extremely greasy, slippery slabby rock. Five team members left base and were joined by four more who went direct to Mousethwaite Comb from where they all made their way up to the foot of Sharp Edge. One team member climbed with a rope along the ridge adding protection along the way then fixing the far end close to the casualties, thus forming a safety line along which other team members could climb in safety. The casualties were harnessed up and given helmets then with the protection of the fixed line were able to move assisted along the slippery slabs of the ridge back down to a safe path. The dog was fortunately already wearing a harness which allowed it to be clipped on and protected too. 11 team members – 4 hours 12 minutes",,sharp-edge-blencathra
"A party of three inexperienced walkers were intending to ascend Helvellyn on the usual path from Wythburn, Thirlmere. However, soon after leaving the car park they lost the main track but continued upwards for several hours into the mist. They eventually called 999 after one of their party was said to have fainted. Patterdale MRT were tasked but had difficulty contacting the party due to intermittent mobile phone signal. As their location was not known Patterdale initiated a search and Keswick MRT were asked to support. On arriving at Wythburn Keswick MRT met a fourth member of the walking party who had returned down the hill, and just happened to be on the phone with the group. During the call their Lat Long grid reference using the Google Maps app was confirmed as half way up the deep and trackless Birkside Gill. With this information the group were quickly located. All were uninjured and were able to be walked down to the road just as it was getting dark and the just before the start of some heavy rain. 21 Keswick team members – 3 hours 8 mins + 27 Patterdale team members",,helvellyn
"A couple on their second date decided to climb Sharp Edge on Blencathra. In slippery conditions part way along they wisely opted out of continuing along the ridge but unfortunately tried to descend from the ridge down towards Scales Tarn. The man slipped and fell from part way down. Instinctively he put his arms out to try to avoid tumbling and ended up sliding fast and bumping down the steep rocky slope until he came to rest on a ledge some 60m further down. His partner was then stuck on the crag unable to go up or down. Keswick team responded approaching from below Mousethwaite Combe and requested air ambulance and Coast Guard helicopter assistance. On their arrival weather conditions meant neither helicopter was able to assist directly with the rescue. Team members were split into two parties with a hasty team going to assist the fallen man approaching from the tarn, the second party climbed up to and along Sharp Edge in order to get to and lower the woman to safety. Many thanks to the passer by who had gone to the man’s assistance and given him extra clothing to wear whilst waiting for the rescue team, the man’s torch light was very useful to locate the casualty. On arrival a group shelter was used to protect the casualty against the increasingly inclement weather. Heat blankets were used to keep the casualty warm whilst he was being assessed prior to evacuation. The man’s successful attempts to not tumble in order to avoid potentially far more serious injuries meant that all the impact had been on his lower back, ribs and leg. Strong analgesia was given before immobilising him in a vacuum mattress and placing him on a stretcher for a rope-assisted lower down the mountain. Meantime other team members had climbed along Sharp Edge securing a safety line along the ridge. A belay was set up and a team member lowered to locate and secure the crag-fast female. Once harnessed and helmeted, the woman and rescuer were lowered to easy ground at the foot of the crag above the tarn from where they were able to walk down. The man was then taken to Glasgow hospital by Coast Guard helicopter that had waited in a field at the base of the mountain. Apparently, despite the drama of their second date a third one has already been discussed. 25 Keswick team members – 5 hours 6 mins",,sharp-edge-blencathra
"Two females attempting to tackle the front face of Barf via the white-painted Bishop Rock arrived below Slape Crag, a notorious steep and slippery short climb with a big drop. Not liking the look of it and unsure of a safe alternative or descent they called for Mountain Rescue help. Two team members who were close by went direct to make contact with the two women, they were followed shortly after by more team members with equipment should it be required. With harnesses and helmets fitted the two were walked off back down the way they had come up past the Bishop. 13 Keswick team members – 1 hour 34 mins",,barf
A young couple had summited Helvellyn from Swirls car park (Thirlmere) and intended to descend the same way. However they took a wrong turn in mist and as it became dark and without torches they eventually dialled 999 asking for rescue assistance. As Phonefind was able to locate them near to the summit of Raise it was only necessary to deploy a small team to walk the – by now – cold couple down to the road. 9 team members – 2 hours 57 minutes,,raise
"A young couple out for a night walk with head torches ended up getting lost in the maze of Whinlatter Forest. They eventually called for assistance and Phonefind confirmed their position as just south of Lord’s Seat. The Team Sprinter was able to drive close to their location and after a short walk the couple’s head torch was spotted and they were found just off the path. Somewhat embarrassed by their predicament, they said they were going to bake and sell cakes in order to make a donation to the team. We’re just glad they’re ok and that they made the decision to call for help. 7 team members – 2 hours    ",,whinlatter-forest-86
"After camping overnight close to the summit, a couple found themselves in cloud and unable to find their descent path. After a short off-piste attempt into the snowy NE bowl, they decided it would be safer to call 999 and ask for Mountain Rescue assistance. The team deployed two vehicles with a few other team members going direct. The team were able to approach using the forest tracks in Whinlatter before continuing on foot up the Sleet How ridge. The pair were quickly found, harnessed and helmeted then short-roped back to the main path from where they were accompanied back to their car above Braithwaite. 16 team members – 3 hours 49 mins",,grisedale-pike
A family were out for a Christmas day walk when one of the party slipped on frozen ground on Lingy Bank and badly injured his knee. His wife called for assistance and a Keswick MRT vehicle was dispatched. On the way to the incident it was reported that the injured party had decided to self rescue using an improvised splint. He was however met by a paramedic team member who lived locally. As the man was very near to Rosthwaite the rest of team was stood down and the team member accompanied the man to Rosthwaite for a handover with the ambulance service. 10 team members – 1 hour,,rosthwaite
"A man slipped on his descent from Dale Head and dislocated his shoulder. One of his two companions ran down to get a phone signal to call 999 and alert Mountain Rescue whilst his other friend helped him descend slowly. With a mobile casualty and no signal meaning no further communication from them, the team approached from both Rosthwaite in Borrowdale and Littletown in Newlands with a couple of team members also approaching from Honister to hopefully locate moving target. He was eventually found on the descent to Newlands. Pain relief was given, the shoulder re-located before being stretchered down towards Littletown. An ambulance had been called but the man opted to travel to hospital with his friends. 19 team members – 3 hours 54 mins",,dale-head
"It’s unusual for us to called out to road traffic accidents, but the ambulance service requested support after a quad bike had gone off the road, below Catbells, following a minor collision with a car. As well as MR a fire crew also attended. After an assessment by the team medics analgesia was given to the quad bike rider who appeared to have suffered a broken collar bone. After this it was a straight forward stretcher raise up the bank and into the ambulance. 1 hour 21 minutes",,catbells
A 20 year woman was descending Carl Side (under Skiddaw) towards Dodd when she slipped on an icy path which resulted in a bad ankle injury. The casualty’s party dialled 999 and requested MR assistance. Fortunately Keswick Team vehicles were able to access the forest roads up Dodd and it was only a short walk to the woman. After providing pain relief the ankle was reduced and she was stretchered down a narrow and awkward path to the team vehicles. She was then transported to an ambulance waiting at the car park at the bottom of Dodd. 15 team members – 2 hours  ,,carl-side
A man had come off his bike on a forest road near Beck Wythop and received a nasty cut to his leg. The ambulance service had difficulty accessing the casualty site so requested MR assistance. While one of the Keswick team vehicles was being dispatched a Forestry Commission vehicle happened to come across the incident and transported one of the ambulance staff to the injured man and subsequently brought the man down to the ambulance. The Keswick team were on standby to support but further assistance was not required and the team returned to base. 6 team members – 1 hour  ,,wythop-woods
"3 Callout Date: 10/02/2021
Callout Time: 4:38 pm
Agencies Involved: Keswick MRT, NWAS",,whinlatter-forest
A 46 year old male was looking for photographic inspiration in Launchy Ghyll when he slipped and fell into the stream bed. The man heard and felt a crack in his ankle as he landed and was in great pain and unable to move. A passing cyclist raised the alarm by calling 999 and asking for Mountain Rescue. As the callout was very close to the road the team sent one vehicle with more team members standing by should they be required. Strong pain relief was given by a team paramedic before splinting the ankle and extricating the man from the steep-sided stream bed on a stretcher with the help of rigging lines. The man was handed over to an ambulance for onward transport to hospital. 11 team members – 2 hour 5 minutes,,launchy-ghyll
"A man was ascending Barf by one of the original, and particularly unpleasant, paths to the summit. Having made some progress he ended up in a precarious position in loose steep scree. Deciding not to attempt going up into steeper terrain and concerned about descending he made a wise decision to call for help. Several team members attended and were able to rope assist him down to the base of the hill. As this is an accident black spot a much better and safer way up is on the path beside Beckstones Gill. 10 team members – 1 hour 46 minutes",,barf
A 71 year old male took a fall whilst descending from Hindscarth suffering head and neck injuries. The man’s wife was able to call 999 and request mountain rescue. A Keswick team member who is an air ambulance doctor received our callout message and indicated that the GNAAS air ambulance was available and could attend if required. Considering the man’s potential injuries the air ambulance was called and arrived on scene shortly before team members. The man’s injuries were assessed and pain relief given before the casualty was stretchered to the air ambulance just a few hundred metres away for onward transfer to hospital. 18 team members – 3 hours,,hindscarth
An experienced paraglider pilot suffered a heavy landing after a partial canopy collapse. A team member who was on Blease at the time helped ensure a rapid deployment of resources. Helimed were first on scene and carried out a casualty assessment and provided pain relief. Keswick MRT placed the man in a vacuum mattress and stretchered him a short distance up the hill to the helicopter which transferred him to Carlisle hospital. 12 team members – 1 hour 48 minutes    ,,blease-fell
"After a day in the fells a man was descending from Eagle Crag when he slipped and fell on steep ground. The man suffered multiple injuries including a broken upper arm, lower leg and broken ribs. Being a long way from the beaten path his whistles went unheard so, as he said, in the spirit of the late Doug Scott and his epic descent of the Ogre he spent the next 3-4 hours crawling very painfully down the slope. Eventually he reached the lower slopes of Greenup Ghyll and was spotted by walkers from the path on the other side of the stream. Two of their party ran down the valley to Stonethwaite and alerted the rescue services whilst another stayed with the casualty bandaging his broken leg and offering reassurance. An air ambulance had been requested but when the situation became clearer; the location and the extent of the man’s possible injuries this was stood down and the Cast Guard requested for a likely winch evacuation. The man was assessed by a team doctor and given strong analgesia before he was put onto a stretcher to await the Coast Guard helicopter. Fortunately there was a large enough low angle area close by that the helicopter was able to land light (still under power so as not to sink into the soft ground) to enable the man to be loaded for onward transport to hospital. 21 team members – 3 hour 38 minutes",,eagle-crag
"A couple came across a lone walker who had slipped and suffered a suspected ankle fracture. They managed to contact the police, asked for mountain rescue, and provided a What3Words location. They then stayed with the casualty until the rescue team arrived. For some unknown reason the W3W reference positioned the casualty close to the A66 near Braithwaite. Fortunately PhoneFind technology was used and a grid reference confirmed the location as on a path between Green Gable and Base Brown – many miles from the A66! Team vehicles set off for the Drum House above Honister pass, and from here the team made their way on foot contouring around Brandreth and over Gillercomb Head towards Base Brown. After providing pain relief and strapping the ankle the casualty was stretchered down Gillercomb and then down the rocky path next to Sour Milk Gill to Seathwaite. An ambulance took the casualty to hospital for further checks and treatment. Many thanks to the couple who alerted the police and stayed with the casualty. 20 team members – 4 hours 43 minutes  ",,base-brown
"A couple of mountain bikers were descending the “Grand National” section of the North Red Loop when one of the riders crashed and stopped breathing as a result of a head injury. His colleague commenced CPR and after a short time the injured man started to come round. Ambulance paramedics, and emergency medics were soon on scene and continued treatment. Helimed 58 was also tasked and landed at Thornthwaite and a Keswick MRT vehicle transported the crew to the casualty site. Eventually the man was packaged and stretchered a short distance to an ambulance which took him to the helicopter and onward transfer to hospital. The casualty was wearing a helmet which undoubtedly saved him from a more serious outcome. 15 team members – 1 hour 26 minutes",,whinlatter-forest
A man was walking with his wife on High Seat when he jumped over some boggy ground. On landing he heard/felt his hamstring snap. The couple called 999 and asked for mountain rescue assistance. Fortunately the Great North Air Ambulance was available to attend quickly. A Sprinter with Keswick team members was deployed with the knowledge that GNAAS were en route just in case the helicopter had to be diverted. Sprinter parked at Ashness Bridge and the hill party began ascending High Seat. GNAAS were able to land close to the casualty and the Keswick MRT hill party were able to return to base before reaching the casualty. The casualty was flown to Crow Park in Keswick for onward transport to hospital. 11 team members – 1 hour 29 minutes,,high-seat
"A rock climber took a leader fall from a route on Quayfoot Buttress in Borrowdale sustaining very serious injuries. The incident was witnessed by someone in the car park below and they called 999. The team responded quickly with two vehicles heading up valley. Once at the crag a small team went up to the top of the crag to perform a roped rescue, lowering a team paramedic down to the casualty. The team paramedic then attached the casualty to himself and our ropes for a lower off to the reception party of more team members with a stretcher and air ambulance paramedics who assessed and did some initial treatment. The casualty was then stretchered down to the car park to an awaiting ambulance before being transferred to the GNAAS air ambulance for onward transfer to the RVI hospital in Newcastle. Many thanks to the coast guard helicopter which was also called due to the nature and seriousness of the incident in case of the need for a winch evacuation. 23 team members – 2 hour 52 minutes",,quayfoot-buttress
The police received a SOS distress message from a lone female walker. The Lat/Long grid reference placed her on Birk Side on Helvellyn but being unable to contact her phone a small MR team went to investigate. In the meantime the walker’s father received a text message saying she was down safe and well and he went to collect her before the team arrived at the base of the hill. It’s not clear why the device was activated but we assume this was accidental. 8 team members – 54 minutes,,helvellyn-13
A mountain biker crashed on the south loop of the mountain bike trail in Whinlatter causing a suspected broken collar bone. A couple of passing bikers alerted the emergency services and two Keswick MRT vehicles were dispatched. On arrival we were advised that the casualty had managed to self rescue and a friend was taking the casualty to A&E. 18 team members – 32 minutes,,whinlatter-forest
A 54 year old female came off her mountain bike on the south side red loop in Whinlatter and landed heavily on her head and back. A team set off quickly from base and was joined by a number of team members who travelled directly. Because of the potential severity of the injuries a helicopter from North West Air Ambulance (NWAA) attended as well as a North West Ambulance Service (NWAS) ambulance. The casualty was assessed and given pain relief by a team doctor before being packaged on a stretcher and taken down to the nearest forest track. A Sprinter vehicle from Keswick base transported the casualty from the forest track down to the ambulance for onward transport to Carlisle Hospital. Many thanks to Helimed 08 from Blackpool for attending. 16 team members – 2 hours 4 minutes,,whinlatter
"A team of five 17 year old females accompanied by two supervisors were on their last day of a five day, four night D of E gold training expedition when one of them stumbled and went over on her ankle at the start of the descent from Lower Man, Helvellyn. Hearing a ‘pop’ and suffering instant pain on her fall, the student was unable to continue and one of the supervisors called 999 for help. Keswick sent two vehicles with a total of nine team members to assist. On arrival at the scene the well-equipped and very upbeat group were warm and protected in the fly sheet of one of their tents from the cold mist and drizzle. A team member examined the injury, gave pain relief, padded and then splinted the ankle before the she was loaded onto a stretcher for a long carry and sled back to Swirls car park to an awaiting ambulance. 11 team members – 4 hours 30 minutes",,helvellyn-low-man
The team attended a walker who had taken a short tumbling fall on a rocky section near to the Skelgill Bank summit of Catbells resulting in cuts to his head. The casualty was checked over by a team doctor and provided some pain relief before being walked off under supervision to an awaiting ambulance. He was then transferred to Carlisle hospital for further checks. Many thanks to the other walkers who looked after the man whilst waiting for the team to arrive. 9 team members – 1 hour 31 minutes,,catbells
A 64 year old man collapsed when he tried to stand up after a rest at the top of the climb up Skelgill Bank on Catbells. The man’s wife called 999 and asked for Mountain Rescue assistance. One Landrover with 5 team members left base with other team members going direct. The casualty was assessed by team medics before being walked down to an awaiting ambulance for further assessment. Many thanks to the ice cream van for the kind donation of very welcome 99s! 16 team members – 2 hours,,catbells
"The team were called to help the ambulance service with a mountain biker who had come off his bike and suffered a painful knee dislocation. After some pain relief and treatment for cuts the casualty was stretchered a short distance to an ambulance. Although this was a relatively straight forward call out, rescue efficiency is almost always dependent on the teamwork between the control room at base and those on the hill. In control, members try to speak to and pin point the location of casualties and informants, manage communication with the team and third party organisations, ensure further support is provided if required, and log activity. It’s definitely the best place to be when it’s grim outside! We hope the casualty is back on his bike soon. 8 team members – 1 hour 14 minutes",,whinlatter
"A 75 year old female took a tumble whilst descending the rocky section below the summit of Castlehead bashing her head on landing. Police and ambulance attended initially but because of the location they asked for Mountain Rescue assistance for the extraction. A full team Landrover was sent from base, just a few hundred metres away, with other team members arriving by various means to climb Castlehead, the small hill and viewpoint just outside Keswick. The casualty was packaged and stretchered down to the ambulance waiting below for onward transfer to Whitehaven Hospital for further investigation. 14 team members – 1 hour",,castlehead
Whilst doing some medical training at Keswick base we had a request from the Wasdale team for assistance. A Coast Guard helicopter had picked up a walker on Broad Crag with an injured knee and was going to drop off in Keswick. Five team members went to Crow Park to secure a safe landing area with other members waiting to assist with a stretcher carry if necessary. 11 team members – 20 minutes,,crow-park
"A woman was descending Walla Crag towards Rakefoot farm when she slipped on some loose stones, injured her ankle, and was unable to weight bear. A Keswick MR team member walking her dog came across the woman and called 999 asking for MR assistance. A Land Rover was dispatched with 3 team members with others travelling direct. On arrival pain relief was provided, the ankle bandaged and splinted, and then she was stretchered a short distance to the road. She was taken to the Keswick Cottage Hospital for further checks. 9 team members – 1 hour 33 minutes  ",,walla-crag
"On a damp and drizzly evening a group of four young Duke of Edinburgh Award males were descending Hazel Bank towards Rosthwaite in Borrowdale. One of the group, a 13 year old, slipped and put his arm out to break his fall resulting in an impressively fractured lower arm. Keswick team members arrived on scene, a team doctor gave strong analgesia before reducing (realigning) and splinting the arm. The unlucky young expeditioner was then stretchered down to an awaiting ambulance in the valley. 12 team members – 1 hour 52 minutes",,hazel-bank-rosthwaite
A 40 year old male was descending Catbells when he had a couple of trip/stumbles followed by a tonic clonic seizure. Another walker called for assistance and team members were dispatched. Helimed 58 from the Great North Air Ambulance Service was also alerted but by the time members arrived the man was recovering and was able to walk himself off to an awaiting ambulance at Little Town. Just as things were concluding a group of llamas passed by. A surreal moment. 17 team members – 1 hour 54 minutes,,catbells
"An 86 year old woman was on the riverside walk south of Grange when she slipped on some rocky steps, hit her head, and suffered a serious lower limb injury. Unable to walk her family members requested MR assistance. On arrival the team medics treated the lady and provided some strong pain relief before she was stretchered to an ambulance for onward transport to hospital. We wish the lady well and hope she recovers soon. 11 team members – 1 hour 40 minutes  ",,grange-borrowdale
"A couple were ascending Hall’s Fell ridge on Blencathra when one of the party became extremely anxious due to the exposed nature of the scramble. Rather than continue they decided to maintain their position and call for help. A small group of team members began the ascent up the ridge from Gategill, but in the meantime a team member who happened to be in the area, was able to descend the ridge from the summit and help the distressed person to the top. The couple were then able to make their own way down the main path to the car park. 11 team members – 2 hours 7 minutes  ",,halls-fell-blencathra
A 50 year old male mountain biker crashed in the upper reaches of the Wythburn valley and suffered suspected concussion. A friend who was with him called for MR assistance. The team parked at Steel End with the knowledge that NWAA helimed from Blackpool was en route. The team ascended to the casualty who had by that time time been assessed by the helimed crew. The casualty was able to walk unaided to the landing area and was transported by helicopter to Whitehaven Hospital. The team recovered the casualties mountain bike and returned to base. 14 team members – 4 hours 11 minutes (several members on stand by at base for a potential long stretcher carry)  ,,wythburn
An organised group were undertaking a ghyll scramble when one of the party suffered a shoulder dislocation. Keswick team members were dispatched and provided pain relief to the casualty and helped extricate him from the ghyll. Whilst walking back to vehicles the dislocated shoulder spontaneously reduced so the casualty was advised to make their way to hospital for scans and further checks. 15 team members – 1 hour 32 minutes,,stoneycroft-gill
"A runner taking part in a two day mountain marathon suffered a probable broken ankle on the descent from Dale Head to Dale Head Tarn. A passing walker raised the alarm after ascending back up Dale Head to secure a phone signal. Keswick MRT sent two vehicles, one to the head of the Newlands valley and the other to Honister pass. On arrival pain relief was provided and the ankle splinted before the casualty was stretchered and hauled to Honister youth hostel for transfer to a NWAS ambulance. 17 team members – 4 hours 30 minutes",,dale-head
"A man in his 70s walking with his wife slid and tumbled on wet and loose scree whilst descending Castle Crag in Borrowdale. This resulted in cuts and bruises above one eye along with cuts and a half grapefruit-sized haematoma on his forearm. Not knowing the severity of the man’s head injury they wisely called for mountain rescue assistance. Two vehicles with team members attended and, as a precaution, the Great North Air Ambulance was asked to attend. Team members assessed the man’s injuries and patched him up. In the end he had recovered enough to be able to walk himself off with assistance. The helicopter was stood down and we made our way down the main path to the vehicles. The man was transferred to his own car and was then taken to hospital by his wife for a check over. 15 team members – 1 hour 38 minutes",,castle-crag
"A couple were walking on Outerside when one slipped and suffered a very painful wrist injury. After calling the emergency services the team sent out two vehicles. One approached from Braithwaite and parked below Stile End, whilst the other made its way to Force Crag Mine in Coledale. The team met the party on the summit of Outerside and after pain relief and splinting the casualty was quickly sledged down to Force Crag Mine. From here they were taken to their vehicle and they made their own way to Carlisle hospital for further treatment. 12 team members – 2 hours 56 minutes  ",,outerside
"Calls for help were heard coming from below Broad Haystack above Stonethwaite in Borrowdale. A passerby heard them and raised the alarm but could give no details of the incident. The team arrived and from the bottom located the casualty high up between Little Stanger Gill and Broad Haystack thanks to another passer by who had climbed up to investigate and then made themselves visible to the team. The approach from below was very steep and mostly composed of loose boulders hidden below waist-high bracken. The initial shouts for help were made by a 51 year old male who had witnessed his dog fall from a cliff and in his haste to reach him had fallen himself some considerable height sustaining serious injuries. As the team arrived the man was more concerned for his dog than himself. One of the team’s dog handlers assessed the dog whilst the man himself was being examined. Whilst the man was being given analgesia and treatment his 12 year old dog was placed in one of the equipment bags to be carried down for a visit to the local vet. Due to the very steep, loose and potentially hazardous terrain for a stretcher lower/carry a coast guard helicopter was requested. Even when the helicopter arrived it was not a straight forward winch operation due to the tight and steep location and the fact there was very little wind, helicopters like wind. The casualty was finally winched up and flown to the RVI in Newcastle for treatment. Many thanks to the highly skilled Coast Guard helicopter crew for their help in a tricky location and to the local female who had climbed up to investigate the calls for help and stayed with the casualty until rescue arrived. We wish both the man and his dog a speedy recovery. 17 team members – 4 hours 19 minutes",,broad-haystack
"A group of family and friends were hiking to the summit of Skiddaw together when on of the party collapsed suddenly. CPR was immediately provided by members of the group, many of whom work within the emergency services and NHS. Air Ambulance arrived quickly on scene to help with resuscitation with mountain rescue also en-route to provide further assistance. Sadly, despite the best efforts of all involved, the man could not be saved. Our thoughts are with his family and friends.",,skiddaw
"A group of medics were walking up Bleaberry Fell when one of their party, a 50 year old male, took a tumble off a crag sustaining serious injuries to his leg and wrist. If you are going to have an accident I recommend being with this group for their collective medical knowledge and experience. The downside was they had little in the way of medical equipment or drugs for such an eventuality so they called for mountain rescue assistance. Due to the serious nature of the injuries and the distance from the road we requested an air ambulance. Keswick team managed to drive a Landrover up behind Walla Crag to leave a shortish jog to the casualty location on the slopes of Bleaberry Fell. The Great North Air Ambulance was able to land on the hilltop about 200m above the casualty. The helimed team treated the man’s injuries and administered strong analgesia before we transferred him by stretcher to the helicopter. 10 team members – 2 hours 21 minutes",,bleaberry-fell
A 15 year old female took a fall off her mountain bike on the south blue route in Whinlatter suffering leg injuries. Our call came from the North West Ambulance Service who were on scene but required assistance with a short stretcher carry from the mountain bike track to the ambulance on the forest road. 9 team members – 1 hours 8 minutes,,whinlatter
"A group were hacking up Latrigg fell yesterday evening when one of the party fell from her horse. The woman landed heavily and heard a popping sound from her ankle. The group dialled 999 and asked for the Police who organised for Mountain Rescue to attend due to the difficult access. Using the landrover, the team were able to quickly reach the casualty and make an assessment of the injury. After some strong pain relief her leg was splinted and she was transported in the team vehicle to the road where her partner could then take her for further treatment at Carlisle Infirmary.   11 team members – 1 hour 10 minutes",,NA
A woman suffered a broken ankle while walking in the Borrowdale valley just above Stockley Bridge. One of the Mountain Rescue team who lives nearby arrived quickly on scene to assess her injuries and requested an air ambulance to assist. The air ambulance made an impressive landing very near to the casualty so that she could be given strong pain relief and her ankle reduced as soon as possible. The team then stretchered the lady to the waiting helicopter and onward to Carlisle hospital.   9 team members – 2 hours 37 mins,,stockley-bridge
A Duke of Edinburgh group was walking from Buttermere was one of them became ill with heat exhaustion at Dale Head tarn. The group’s instructor dialled 999 for the Police and asked for Mountain Rescue. The team was deployed to the group via Honister and on arrival assessed the casualty’s condition with further team members and a stretcher en-route. The casualty had already rested and cooled and with the team’s assistance was able to slowly walk back to his school’s bus waiting at Honister.   16 team members – 2 hours 35 mins,,dale-head
"A 70 year old man set off on a day walk in the Langstrath valley early on Thursday morning. When he did not return home as expected his son called the police. Keswick Mountain Rescue and Lake District Mountain Rescue Searchdogs teams were deployed to cover possibilities around the man’s intended route over Eagle Crag and Sergeant Crag. A Coastguard helicopter also assisted with the search. In the early hours of the morning the man was found, but tragically he had sustained fatal injuries from a fall. Our deepest thoughts and condolences go to his family and friends. 23 team members – 7 hours 38 mins",,eagle-crag
A family were walking on Allen Crags when their 19 year old daughter starting being violently sick and unable to continue. The family dialled 999 and asked for Police who deployed Keswick Mountain Rescue. No air ambulance was available but a Coastguard helicopter was tasked and managed to reach the party before the team arrived. The Coastguard helicopter assessed the casualty and transported the whole family to Crow Park where they were transported to Keswick hospital.   11 team members – 3 hours 42 mins    ,,allen-crags
"A woman walking near Grange in the Borrowdale valley tripped and badly damaged her kneecap. Although close to the road, the Keswick Mountain Rescue team were requested to help evacuate the woman. The team struggled through heavy traffic to reach the casualty while the ambulance staff administered pain relief. The woman was then stretchered to the waiting ambulance for further treatment at Carlisle hospital.   13 team members – 1 hour 35 mins  ",,grange
A family of five were walking on Catbells when the mother began feeling faint and started to vomit. The team was dispatched and once on scene diagnosed dehydration due to the high temperatures. The casualty was given oral and IV fluids before being stretchered off to a waiting ambulance for further treatment.   14 team members – 3 hours 25 mins,,catbells
An 83 year old man fell off his mobility scooter in Cockshot woods sustaining a cut above his eye. A small team was dispatched on foot from the base to assess and treat the man’s injuries and an ambulance also attended as further treatment was felt to be needed. The man’s cut was cleaned and dressed but he refused to be taken to hospital and he continued without further assessment.   5 team members – 1 hour 15 mins,,cockshot-woods
"A woman walking towards Friars Crag with her family tripped and landed painfully on her shoulder. A nearby policeman called for Mountain Rescue help and the team from the previous rescue diverted quickly to the area. The woman was treated by the team for her pain before being assisted to the nearby police vehicle to be taken, along with her family, to Keswick hospital.   4 team members – 32 minutes",,friars-crag
The “Mobile” Land Rover was deployed to a woman at Dodd wood who slipped whilst walking and suffered a sprained ankle. She was given some pain relief and the ankle was then splinted. She was then taken by the team vehicle to her partner’s car where he could transport her to hospital. 13 Team Members – 1 hour 25 minutes  ,,dodd-wood-45
"A party of three were descending from Bowscale Tarn after a swim when one of the party slipped and sustained an ankle injury. The team deployed and managed to get a vehicle to the casualty. She was given analgesics, splinted and driven down to the road to meet her family, who took her to hospital. 14 team members – 2 hours 11 minutes",,bowscale-tarn
The Coastguard requested support following reports of a swimmer in trouble near to Derwent Isle on Derwentwater. Team members were quick to deploy from Derwentwater Marina whilst others took the boat bus from the MRT base to Keswick Landings. Later reports suggested the person had made it to land on Derwent Isle and then made it across to shore and walked off into the woods. The woods were then searched but there was no trace of the person. 13 team members – 57 minutes    ,,derwentwater
