title,date,loc,gridref,incident
Father fatally injured after falling from Striding Edge in the Lake District,2015-06-20,"Striding Edge, Helvellyn",NY 34642 15080,"At 1122 am on Saturday 20th June, Patterdale Mountain Rescue Team were called to reports that a man had fallen from Helvellyn in the Lake District. The Great North Air Ambulance, which was tasked to the rescue, was unable to get close to the scene due to low cloud. An RAF SeaKing Helicopter, which was already on route to the Lake District from Northumberland for training, was immediately requested by the Team and provided invaluable support throughout.Initially, the SeaKing helicopter flew three team members and the air ambulance paramedic and doctor as high as possible on the mountain, limited only by low cloud and poor visibility. The helicopter, by this time low on fuel, returned to collect additional team members and a second doctor, and flew these to the same location. From there, the team made their way on foot up on to Striding Edge and down towards the casualty site whilst the helicopter returned to refuel.Once arriving on scene the team took over from the man's son and passers by who had climbed down the mountain and had been carrying out CPR. The team's doctor assessed the man and sadly he was pronounced dead on scene having sustained severe head injuries.Mike Blakey, Patterdale Team Leader said: 'On behalf of the rescue services involved in the incident today, we would like to express our sincerest condolences to the family and friends of the man who tragically lost his life. Helvellyn is a very special place and the ridges make for a great mountain day. The man and his son were well equipped. Those people who were walking on the ridge at the time, and who risked their own safety to assist the man, should be commended. They did everything they could to help.''The RAF SeaKing helicopter from Boulmer, which assisted us today, will go out of service later this year. I would like to thank the SeaKing crew for their support over the years and in particular today. Today's accident occurred in low cloud and the SeaKing crew did everything they could to get rescue members as near as possible and ensure that the man and his son were flown off the mountain as quickly as possible. Our thanks also go to the Great North Air Ambulance and Penrith Mountain Rescue Team for their assistance. In total there were approximately 30 rescue team members involved for five hours.'The team would like to remind anyone who requires assistance in the mountains to call 999 and ask for the Police and Mountain Rescue."
2 People Stuck on Striding Edge,2015-02-28,Striding Edge,NY 35259 15052,"The Team were called to assist two walkers who became stuck on Striding Edge in poor weather. The team were able to guide them to safety by mobile phone, whilst assembling to go onto the mountain. "
21st Rescue of the Year for Patterdale MRT,2015-03-07,Sleet Fell,NY 42200 18800,"Just as incident 20 was coming to an end the Team were called to a second rescue on Sleet Fell. A man, from the North East of England, had slipped and broken his ankle. Penrith team assisted with the rescue too!"
Lost night time walkers,2015-03-27,Ullswater Lake Shore Path,NY 39840 16265,"Two people had set out for a walk from Patterdale Youth Hostel to Howtown and back at 5pm. 3 1/2 hours later they were over taken by darkness on the lake shore path and with no torch were unable to proceed.The Rescue Team responded, deduced their location and went to pick them up before returning them to the Youth Hostel."
Missing person - Watermillock,2015-04-07,Watermillock,NY 43818 22806,At 14:30 today Patterdale Mountain Rescue team received a request from Cumbria Police to assist with the search for an 87 year old gentleman. The missing man who suffers from mild dementia and had become separated from his companions whilst walking in the Watermillock area. As the team was mobilising and one of the leaders was interviewing the informant the gentleman was located safe and well by a team member responding to the incident. The rescue involved seven members of the Patterdale Team and lasted for approximately one hour.
Mountain biker comes off bike above Ullswater,2015-04-09,Auterstone wood / crag,NY 45886 21307,"Three calls in three days for Patterdale Mountain Rescue Team. The Team were called to the assistance of an 18 year old male who had gone over his handlebars whilst mountain biking on a track near Auterstone Wood, above Ullswater. Patterdale Mountain Rescue Team called on the assistance of the Air Ambulance which was at its base in Langwathby and also Penrith Mountain Rescue Team. The casualty was treated on the fell and found to be suffering from head and back injuries. He was then stretchered from the fell to the waiting Air Ambulance before being flown to Carlisle hospital for further treatment."
Man survives 200 metre fall from Helvellyn and team evacuates 40 people from Kirkstone Pass,2015-02-22,Brown Cove,NY 34600 16500,"Patterdale Mountain Rescue Team were nearing the end of a winter training exercise on Sunday morning when a 28 year old man stumbled out of the white-out conditions and collapsed at their feet. The man, who it later transpired had fallen about 200 metres from Swirral Edge on Helvellyn, was initially unable to tell the rescue team what had happened or whether he was alone. He was assessed and quickly transferred by stretcher to one of the Team’s vehicles, which was parked nearby at Brown Cove dam. The man was then taken by Landrover Ambulance, which was fitted with snow chains, to Patterdale MRT’s base where he was assessed and later released. Remarkably the man had only suffered minor injuries.Mike Blakey, Team Leader, said: ‘This was one lucky chap. Not only did he fall a long way from a mountain on which three people have died so far this year, but he managed to make his own way down in a snow storm. He had no idea where he had ended up. He described falling through the snow when he was on the ridge and coming to rest about half way down the mountain, still in a blizzard. We had originally planned to train in Red Tarn in the morning, but with the severe weather forecast we changed our plans at the last minute. Five team members went to Red Tarn to attempt to find and recover some of the climber’s equipment from the rescue on Tuesday night last week. The rest of the team went to Brown Cove. If we hadn’t changed our plans this man would not have been rescued so quickly, and it would be difficult to say if he would have found help. He probably should buy a lottery ticket!’At the time of the incident, the Team had just received a call-out from Cumbria Police to assist with a major road accident on the Kirkstone Pass. After evacuating the man who had fallen from Helvellyn, fifteen team members went to assist at this incident, and were joined by Penrith Mountain Rescue Team. Langdale Ambleside MRT were on scene along with two ambulances, Police and the fire service who assisted with the extraction of a casualty from one of the cars which was on its roof. Because of the heavy snow several vehicles and their passengers were stuck, including a coach and 24 Chinese tourists. The teams worked together using their Landrover ambulances to transport forty people in total back to Patterdale Mountain Rescue Team base.The team were out for a total of twelve hours including training on Sunday – a total of 26 hours in the last five days. A team spokesman said: ‘we’re constantly filling up our freezer with food at the minute and it keeps getting eaten by casualties and team members alike! I think we’ll need a bigger freezer, if 2015 keeps up at this rate.’ The team is currently fundraising to replace their current radios which are tired and starting to fail. Donations can be made online at www.mountainrescue.org.uk "
Team Evacuates 40 People from Kirstone Pass,2015-02-23,Kirkstone Pass,NY 40200 08100,"Whilst dealing with the previous incident, the Team received a call-out from Cumbria Police to assist with a major road accident on the Kirkstone Pass. After evacuating the man who had fallen from Helvellyn, fifteen team members went to assist at this incident, and were joined by Penrith Mountain Rescue Team. Langdale Ambleside MRT were on scene along with two ambulances, Police and the fire service who assisted with the extraction of a casualty from one of the cars which was on its roof. Because of the heavy snow several vehicles and their passengers were stuck, including a coach and 24 Chinese tourists. The teams worked together using their Landrover ambulances to transport forty people in total back to Patterdale Mountain Rescue Team base.The team were out for a total of twelve hours including training on Sunday – a total of 26 hours in the last five days. A team spokesman said: ‘we’re constantly filling up our freezer with food at the minute and it keeps getting eaten by casualties and team members alike! I think we’ll need a bigger freezer, if 2015 keeps up at this rate.’ The team is currently fundraising to replace their current radios which are tired and starting to fail. Donations can be made online at www.mountainrescue.org.uk "
Female Walker Suffering from Exhaustion on Dove Crag,2015-02-28,Dove Craf,NY 37100 10788,"At 16:05 on Sunday 28th February Patterdale MRT went to the assistance of Langdale Ambleside MRT on the summit of Dove Crag where a female walker had become exhausted in poor weather. The woman managed to move towards LAMRT and was assisted from the fell before either team arrived.The team were joined by nine members of RAF Leeming Mountain Rescue Team and a Sea King helicopter from RAF Boulmer. The rescue lasted for approximately 3 hours and involved 11 Patterdale members.The team had just finished dealing with an earlier incident involving two people who had become temporarily stuck on Striding Edge. These two people managed to make their own way to safety after instructions were provided by the Team.The Team would like to remind all those venturing onto the fells to check the weather  and the fell top forecasts before venturing onto the high fells. There is still a considerable amount of snow up high and in the corries including Red Tarn, Brown Cove and Nethermost. Likewise, cornices remain a hazard and people should be careful near to any exposed edges where snow is present. An ice axe and crampons remain essential for anyone attempting Swirral or Striding edges. This was the Team's 19th rescue of the year. Patterdale MRT are currently fundraising to replace their entire radio system. Each team member requires a new handset, charger and battery costing in the region of £500 per person. Donations are very welcome and can be made at www.mountainrescue.org.uk. "
Crashed light aircraft,2015-04-09,Ullswater,NY 46150 23676,Patterdale Mountain Rescue Team had just returned to their rescue base and were sorting equipment from a rescue involving a mountain biker when they received information of a light aircraft crashing into Ullswater near Pooley Bridge.Team members quickly got the Rescue Boat ready and launched 'Patrick Scotty' from Glenridding Steamer Pier. As they were underway further information was received that this was possibly a microlight that had skimmed above the lake and carried on. It was established that the team were not needed and so returned to the rescue base to carry on sorting equipment and get ready for the next callout !!!
Female with head injury on Glenridding Dodd,2015-04-11,Nr. Glenridding Dodd,NY 38512 17725,"Patterdale Mountain Rescue Team were called to a young female who had fallen approximately 50 feet on loose ground whilst walking on Glenridding Dodd. North West Ambulance Service also attended and along with team members, treated the casualty for a headwound. Due to the broken ground and steepness of the slope, a rope lowering system was set up and the casualty was lowered on a stretcher to safer ground. The Air Ambulance from Teeside attended and was able to land closeby allowing the casualty to be flown direct to hospital."
The Busy Year Continues for Patterdale Mountain Rescue Volunteers,2015-03-07,Boredale Head,NY 41498 16518,"At about 11.30 on Saturday 7th March Patterdale MRT were called to their 20th rescue of 2015. A female walker had fallen near to Boredale Head and sustained a broken ankle. She was treated on scene, given pain relief by the Team Doctor, and transfered to an ambulance for onward transfer to hospital. As this rescue wss coming to an end the Team were called to a second incident on Sleet Fell. A man, from the North East of England, had slipped and also broken his ankle. Once again he was treated on scene before evacuation on a stetcher to another waiting ambulance.The team is hoping that their work is done for the day, as a lot of the team's kit is now very wet!14 team members were involved for 5 hours. The team were assisted by several members of Penrith MRT and a Kendal Team member.Patterdale Mountain Rescue Team relies entirely on voluntary contributions from the public to provide a 24 hour 7 day per week free service. The team are currently raising funds to replace their radios which are nearly ten years old. You can help the team by donating at www.mountainrescue.org.uk or perhaps organisinga fundraising event on their behalf."
They say things come in threes...,2015-03-07,Dove Crag,NY 37400 10600,"Langdale Ambleside Mountain Rescue Team (LAMRT) were alerted at around 1910 on Saturday evening when a group of walkers failed to return to Hartsop, where they had left their cars much earlier in the day. LAMRT notified Patterdale Mountain Rescue Team and a major search operation was launched involving Penrith and Kirkby Stephen Mountain Rescue Teams and six Lake District Mountain Rescue Search Dogs. Together the teams searched the group’s intended route from the point where they were last seen at around 1500 on Saturday afternoon.Mike Blakey, Team Leader explained: ‘Once we had met with another member of the walking group it was clear that the group had intended to cross underneath Dove Crag before climbing to Hartsop Above How and descending to the valley. Although the group were very experienced, it was unusual for them not to have notified anyone of the their safe return. ‘‘We quickly managed to find their cars and LAMRT tried to fix their phones using the SARLOC system. Given that we couldn’t contact the missing people by phone and the weather was deteriorating we decided to search all of the major routes to the North and North East of Dove Crag and the crags below. At around 2250 the four people were happily found by a search dog handler on route to begin her search area. The four were uninjured but tired and they were transported back to base for tea and rewarming. Two of the group were mildly hypothermic.’‘It transpired that the group had initially got lost below Dove Crag and then eventually managed to find the main path down Hartsop Above How. However, two of the group had become cold and tired and their descent was therefore very slow in low cloud, darkness and high winds. At one point two of the group were blown over.’‘We’re all very happy that this group of experienced walkers managed to get themselves out of trouble and off the mountain unharmed.’The rescue involved approximately 45 rescue team members from four rescue teams and lasted over five hours. The Team had been involved in rescues all day and have undertaken 22 incidents in 2015.Patterdale Mountain Rescue Team relies entirely on voluntary contributions from the public to provide a 24 hour 7 day per week free service. The team is currently raising funds to replace its radios which are nearly ten years old. You can help the team by donating at www.mountainrescue.org.uk or perhaps organizing a fundraising event on their behalf."
4 Walkers 'lost' on summit of Helvellyn,2015-03-20,Helvellyn,NY 34269 15086,"At 1615, a group of four males reported themselves missing on the summit of Helvellyn. Keswick MRT initially tried to talk them down when they realised they were at the summit shelter. Due to the conditions the party were reluctant to move and personnel from Patterdale MRT ascended Helvellyn to the summit to guide the group down.On arrival at the summit the group were found to be extremely cold but otherwise well. The group were then walked down to the team vehicles and taken back to the rescue base in Patterdale and onwards to the train station to catch the last train home...The Team would like to warn people that although valley temperatures may be mild, severe winter conditions can still be experienced on the fell tops.  "
69 Year Old Man Stuck Ascending Helvellyn,2015-03-29,Red Tarn Basin,NY 34564 15075,"Patterdale MRT were contacted when a member of a party of four became stuck ascending the final slopes up to Helvellyn at the end of Striding Edge.  In deteriorating weather conditions three members of the party raised the alarm via a mobile phone call before continued on to Helvellyn and descending via Lower Man and Whiteside to Greenside Mines and safety. Helicopter assistance was requested to uplift rescue team members toward the site of the cragfast man, initially in the form of the Helimed Air Ambulance. However due to the low cloud the Air Ambulance was unable to approach the scene and a SeaKing from RAF Boulmer was requested to assist as the team members made their way onto the fell on foot, Penrith MRT were also called to assist.  However, before the rescue team could reach the man's location he managed to free himself and descend to Red Tarn and then down towards the Grisedale Valley where team members intercepted him.11 members of Patterdale MRT and 6 members of Penrith Team were involved in the rescue.  Members of the public are reminded that conditions on the fells can still be very wintery even at the beginning of April with sheet ice, sleet, snow and very strong winds.  "
Walker stuck on ledge,2015-04-08,Greenhow End,NY 37111 12111,Patterdale Mountain Rescue Team were called to the assistance of a scrambler who had become cragfast on Greenhow End. He was following a magazine article and using a guidebook but became stuck and was unable to climb up or down and phoned 999 for help. Patterdale Mountain Rescue Team immediately responded and also requested the assistance of a Royal Air Force Seaking helicopter that was in the area. Penrith Mountain Rescue Team were also asked to attend to provide additional personnel.The crew of the Seaking were able to winch the gentleman onto the aircraft and return him to Patterdale Mountain Rescue Base.Many of the scrambling routes still have some snow on them and many haven't been used all winter and are covered in loose stone and debris.This incident was concluded very quickly with a happy outcome due to the combined efforts of all involved.
Cries for help,2015-01-18,High Street,NY 44110 11320,The Team were alerted by the Police after shouting was heard near High Street.  It rapidly came to light that a local shepherd had been gathering his sheep.
Young Male with Chest Pains,2015-02-04,Aira Force,NY 40200 19800,Today Wednesday 4 February 2015 Patterdale Mountain Rescue Team were called out by the North West Ambulance Service to go to the aid of a 17 year old male with chest pains on the beach close to Aira Force.The North West Ambulance assessed the patient on scene and then transported him to hospital. The rescue was attended by 8 Patterdale Mountain Rescue Team members.
Lights seen on fell,2015-02-04,"Red Screes, Kirkstone Pass",NY 39710 08947,Patterdale Mountain Rescue Team Received a call from a local landlord who'd seen lights on the fell above Brotherwater. A few members of the team investigated these lights which turned out to be two well equipped climbers taking advantage of the excellent winter conditions and full moon.
Members assist Penrith MRT with a search,2015-02-07,Beacon Hill Penrith,NY 52195 31210,"A five hour search controlled by Penrith MRT was conducted in the Beacon Edge area.  Unfortunately a body was found, which has since been confirmed as the missing person.Members from Penrith, Cockermouth, Kirkby Stephen, Kendal, and Patterdale Teams together with four Lake District Search Dogs assisted with the search.Thoughts are with his family and friends."
Reports of an intoxicated person heading towards Helvellyn,2015-02-10,Greenside Youth Hostel,NY 36600 17400,"At approximately 22-43hrs on the 9 February 2015, Patterdale MRT were informed of a male who was reportedly intoxicated and heading up towards Helvellyn. After several discussions with the informant and the local police, it was decided that the male was probably not at risk and no further action was required."
Injured Ankle on Myers Beck above Glenridding,2015-02-11,Mires beck ,NY 37410 16340,Patterdale Mountain Rescue Team were called out during the afternoon of Wednesday 11th Feburay to Miers Beck above Glenridding to the aid of a woman suffering from an ankle injury. Pattedale were assisted by Penrith Mountain Rescue Team and the lady was transferred to an Ambulance at the team's headquarters
"Two fall from Swirral edge, Helvellyn",2015-01-17,Brown Cove,NY 34200 15500,"Patterdale Mountain Rescue Team were called by Cumbria police at 4pm on Saturday 17th January following reports of two men having fallen from Swirral Edge on Helvellyn into Brown Cove.  Further reports suggested that there was one injured casualty and a further two who were mobile but on very steep snowy ground.  The group, from Widnes, were descending from Helvellyn when one slipped a short distance from the Swirral Edge ridge; the second person then slipped and fell approximately 300m as he was trying to descend to go to the aid of his fallen friend.  The third member of the party was assisted off the hill by a passing walker and was brought down to Patterdale Rescue Base.Patterdale team members were deployed shortly after the initial call followed by additional personnel from Penrith, Keswick and RAF Valley & Leeming Search & Mountain Rescue Teams. Whilst en-route a report came in of a second incident, reporting two casualties in Y Gully on Catstycam.  Team members made their way to each location but after searching Y Gully, it became apparent that there was only one incident – with the second incident simply a confusion by passing walkers over the location of the first.After a brief search in Brown Cove, the two casualties were located on steep icy ground at the head of the valley below Swirral Edge.  They were assessed by a Team doctor and one casualty was found to be suffering from multiple injuries including a suspected fractured pelvis; with the second casualty cold but unable to move from his current location.  The injured walker was put into a stretcher and lowered a short distance down  the fell before being winched on board an RAF Seaking which had flown in from Boulmer. The casualty was then flown to Cumberland Infirmary, Carlisle.  The second casualty was walked off the fell with assistance from Team members.  Very sadly, the injured casualty died of his injuries during the night.  Patterdale Moutain Rescue Team's thoughts are with the family and friends at this difficult time.A total of 45 mountain rescue personnel were involved in this incident which lasted seven hours."
Lights seen descending from St Sunday Crag,2015-02-16,St Sunday Crag,NY 36900 13400,"At 18-30hrs on Monday 16 February, Patterdale MRT recived a call via Cumbria Police from a concerned member of the public to reports of lights seen descending from St Sunday Crag. After investigations were carried out it appeared to be walkers descending down towards Patterdale under torch light and no further action was required."
Climber Falls 40 metres,2015-01-24,"Eagle Crag, Nethermost Cove",NY 35600 14213,"Patterdale Mountain Rescue were called just before 11 am to reports of a climber who had fallen and sustained a head injury in the Eagle Crag area to the West of Helvellyn. As the initial call was a roaming 999 call, and the reporting person had poor mobile coverage, the Team had very little information. However, eight rescuers set off to the scene and met the climber and his friends descending down into the Grisedale valley. The 21 year old student from Lancaster had fallen about 40 metres and sustained several cuts and bruises. He was assessed by the Team and taken back to the Team's base before he was transferred to hospital by ambulance.The rescue involved 14 team members.Whilst this rescue was taking place Cumbria Police notified the Team of a second fallen climber who had sustained an open fracture to his leg and was suspended from a climbing rope. Patterdale MRT quickly passed this call to Keswick MRT as the incident was on the West side of  Helvellyn. Eight members of Kirkby Stephen MRT, who were training in the Red Tarn area, went to the climber's aid along with Keswick MRT, a SeaKing helicopter and an air ambulance."
"Female walker trips and sustains head injury above Silver Bay, Ullswater",2015-02-17,"Lakeshore footpath above Silver Bay, Ullswater",NY 39900 18400,"At 15-04hrs on Tuesday 17 February, Patterdale MRT were called by Cumbria Police to assist a female walker who had slipped and sustained a head injury while walking along the lakeshore path between Howtown and Glenridding. Due to the location of the incident the rescue boat was lauched from Glenridding steamer pier along with 7 members of the team. The casuatly was treated on scene and transfered back to the Rescue centre before departing with her husband and friends. The incident lasted 2hrs and invloved 11 team members."
2 Walkers failed to return from Helvellyn,2015-02-17,Helvellyn,NY 34100 15200,"At 20-25hrs on 17th February, Patterdale MRT were alerted to their 2nd incident of the day by Cumbria Police for 2 walkers who had failed to return from their walk up Helvellyn. Due to the limited information available, the Team began a search of local carparks in and around the Patterdale / Glenridding area to ascertain a likely starting point for the search. Whilst plans were being formulated for this detailed search, the team were contacted by one of the missing persons as they returned back to their holiday cottage near Ambleside to confirm they were safe and well. As the incident was being concluded, a further call came from Cumbria Police for a missing 68 year old male. This search continues. The callout lasted 1.5hrs and was attended by 12 members."
Three Rescues in One Day for Patterdale Mountain Rescue Team - man dies after accident on Helvellyn,2015-02-17,Helvellyn,NY 34300 15200,"Three Rescues in One Day for Patterdale Mountain Rescue Team – man dies after accident on HelvellynA local mountaineer was found laying seriously injured by a mountain rescue search dog at around 0100 on the morning of Wednesday 18th February.  The 68 year old man from the Penrith area had set off earlier the day before to ascend Helvellyn in the English Lakes. He was very experienced and well equipped.The team were alerted by the man’s wife at around 2040 on Tuesday 17th when he failed to return from his day out on the mountain, which he had climbed on only a few days earlier. Patterdale and Keswick Mountain Rescue Teams initially searched to locate the man’s car and then mounted a major operation including over forty team members from five mountain rescue teams and a Royal Navy Sea King helicopter from RN Gannet, Prestwick, in Scotland.Mike Blakey, Patterdale MRT Team Leader said: ‘This was a jointly coordinated operation between Keswick MRT and Patterdale MRT. In a situation like this where we have located a vehicle we search all possible routes and locations where a missing person may be, on both sides of the mountain. Given the size of the area we requested support from Kirkby Stephen and Penrith mountain rescue teams, the Lake District Mountain Rescue Search Dogs and a Royal Navy helicopter.’‘During the very early hours of Wednesday morning Patterdale MRT’s search dog and handler located the missing man on the headwall of Helvellyn. Two doctors and further team members were on scene within minutes, as they were involved in the search nearby. The man, who was unconscious, was treated on scene whilst other members made their way to assist’ ‘The weather conditions were atrocious and as a result, despite several attempts by the Sea King rescue helicopter, the helicopter was forced to retreat to the Greenside Mines area where it waited for about two hours until the teams were able to carry the man down the mountain on a stretcher.’‘During the evacuation, which lasted four and half hours, the man suffered a cardiac arrest. The rescue teams, including three doctors and a paramedic by that time, were able to carry out cardiac pulmonary resuscitation until he reached the major trauma centre in Newcastle. A rescue team medic stayed with the casualty throughout the flight to hospital.’‘Sadly the man who has not yet been formally identified, died in hospital from his injuries at around 0630. On behalf of all those involved in this very difficult rescue of a fellow mountaineer we would like to express our deepest sympathy to his wife, family and friends. He was well equipped and knew what he was doing in a place that he loved.’‘I would also like to express our thanks to all of our colleagues in other Teams, the Royal Navy Seaking Crew, Police and Air Rescue Coordination Centre in Kinloss for their support throughout. "
Lone walker with ankle injury,2015-01-04,Hallin Fell,NY 43323 19774,"At approximately 15.20 today Sunday 4th January Patterdale Mountain Rescue Team were called by Cumbria Police to go to the aid of a lone male walker who had fallen and sustained an ankle injury just below the summit of Hallin fell.Whilst 14 Patterdale Team members were making their way to the fallen gentlemen along with a small Team from Penrith Mountain Rescue, an RAF  Sea king helicopter training in the area offered assistance and went directly to the man's aid."
Man and woman reported themselves lost,2015-01-11,Whitbarrow Scar,SD 43900 86800,"Whilst rescue number 2 was taking place, Cumbria Police asked the Team to assist in a search for two missing people and their dog. It turned out the people were actually in Kendal MRT's area and Patterdale were really happpy to hand this over given they were already very busy."
Man recovered from Helvellyn after major search,2015-01-11,Helvellyn Head Wall,NY 34303 15246,"On Sunday 11th January 2015 Patterdale Mountain Rescue Team were called by Cumbria Police to assist in the search for a male who was reported missing, possibly on Helvellyn.The man, from the South of England, was staying at a hotel in the Windermere area and had indicated that he intended to walk up Helvellyn on Thursday 8th January. The last known contact was around lunchtime that day but he was not reported missing until the weekend when he failed to check out of his hotel.Based on the information available, and in darkness, strong winds and heavy rain Patterdale Mountain Rescue Team began to coordinate a search of the main areas on the Helvellyn range. They called for the assistance of other rescue teams: RAF Leeming; Penrith; and the Lake District Mountain Rescue Search Dogs. Between approximately 1700 and 2300 forty-nine mountain rescuers and five search dogs and handlers were involved. Just before midnight the search was postponed with a plan to resume at first light as a sever e weather warning was in force and visibility was worsening during the early hours of Monday.At 0730 on Monday the following teams joined the search: Keswick; RAF Leeming; Penrith; Kirkby Stephen; and five dogs from the Lake District Mountain Rescue Search Dog Association and a further three from the Search and Rescue Dog Association (England). A Royal Navy Sea King helicopter from Gannet, Prestwick joined search efforts and airlifted equipment to the mountain.By 1030, a search dog found a man on the headwall of Helvellyn at the same time as an RAF team spotted the man from above. Within minutes the team were on scene. However, sadly the man had sustained serious injuries and was later pronounced dead at Patterdale Mountain Rescue Team base. During the second day of searching sixty-two mountain rescuers were involved for almost eight hours.Mike Blakey, Patterdale MRT Team Leader said: ‘In these tragic circumstances the thoughts of all those involved in the man’s rescue are with his family and friends. I would like to thank all of our colleagues in the other mountain rescue teams, mountain rescue search dog handlers, the police and the Royal Navy Sea King Crew who did everything they could to assist in finding this man quickly.’ ‘Rescues like this always involve an element of risk. During the night and this morning, in the heavy winds, two search dog handlers sustained minor injuries. We wish them a speedy recovery.’"
Shouts for help turn out to be a farmer,2014-12-07,Brothers Water ,NY 40700 12700,At 14:33 the Team were called following reports of shouts for help above Brothers Water. When the Team arrived it turned out to be a farmer working his sheepdog and trying to move a sheep off a crag. A false alarm with good intent.
Cars stuck in snow,2014-12-10,Pattedale,NY 39897 07910,Patterdale Mountain Rescue Team were called at the request of the Police to the assistance to two vehicles stuck in snow on Kirkstone Pass on the night of Wednesday 10th December 2014.The incident lasted for 2 hours and Patterdale Mountain Rescue Team would like to encourage motorists to drive within their capabilities in winter weather and ensure that their vehicle and the occupants are appropriately equipped for cold and wintery conditions
Calls for help heard,2014-12-30,Stoney Cove Pike,NY 42800 10800,Patterdale Mountain Rescue Team were called to investigate calls for help which were hear in the Stoney Cove Pike Area above Hartsop. Following further information it materialised that it was the Hounds on the Fell and the calls may have been mishear with good intention.
RTA near Hartsop,2014-12-30,A592 near Hartsop,NY 40260 14016,"Patterdale Mountain Rescue Team members were returning from an earlier call out, when a member came accross a serious two Vehcile RTA which was blocking the road and had multiple casualties. The team assisted the Ambulance Service, the Air Ambulance and the Police. "
Busiest Year Ends Ever with a Rescue on Helvellyn in Atrocious Weather,2014-12-31,Helvellyn,NY 34300 15200,"At approximately 1400 on New Year's Eve, Patterdale Mountain Rescue Team were called to assist a man who had become stuck on the face of Helvellyn in atrocious weather. The Team made contact with the man via telephone and ascertained that he had made his way onto the headwall of the mountain to avoid the snow above, having no ice axe or crampons with him. The man had managed to traverse across the mountain until he was unable to return the way he had come or go ahead, becoming stuck on a small ledge.A RAF Sea King Helicopter from RAF Boulmer, which had been in Carlisle at the time, came to assist the team and managed to airlift five team members to Red Tarn. With deteriorating weather conditions and winds gusting approximately 50mph the helicopter then returned to base leaving further team members to climb up the mountain.The first three team members made their way up Swirral Edge and could hear shouts and whistles in the mist but were unable to locate the man. They then ascended to the summit of Helvellyn where they spotted another light towards Striding Edge. Unable to locate the man from above, or descend safely to search given the high winds and driving rain, they continued to Striding Edge and descended about 100 metres. Team members then managed to locate the man's footprints in the snow and followed these across the face for about 250 metres until it became unsafe to continue due to the difficult craggy ground and weather conditions. At this point, a further four team members heard the man shouting again and two team members were able to traverse across from Swirral Edge at a different altitude and locate the man. He was then assisted down a snow gully to Red Tarn and walked off the mountain.The man was stuck on precarious ledge for about four hours in total. The rescue lasted over six-hours and involved 11 team members. Patterdale Mountain Rescue Team would like to thank the RAF for their assistance in the very difficult conditions."
Lost Grandchild in Angle Tarn Area,2014-08-30,Boredale Hause ,NY 40600 15800,"Patterdale Mountain Rescue Team were called today, Saturday 30th August, by the Police to search for a missing walker.  A boy and his grandfather from Lincolnshire, were walking near Angle Tarn, Ullswater when they became separated from each other.  The team put a number of search parties out and the missing pair were located relatively soon, descending from the hill after meeting up on their descent."
Fitting Female Martindale,2014-08-30,Martindale Church,NY 43800 19300,"Whilst the Team were finishing the previous search, they were paged for a second incident.  North West Ambulance Service called the team to go to the aid of a 46 Year old woman who was reported as having a fit on the fell close to Martindale Church. Ten members of the Team went to the woman’s aid, along with the Great North Air Ambulance.  The woman was treated on the fell and taken by Land Ambulance to hospital.Today`s two jobs took three and a half hours to complete and was attended by 10 Patterdale Team members."
Fractured Ankle Aira Force near Dockray,2014-09-24,Aira Force Dockray,NY 39981 21257,"Today Wednesday 24 September at approximately 12.30pm Patterdale Mountain Rescue Team were alerted by the police to go to the aid of a 64 year old lady who had fallen whilst out walking with her husband, along the riverside path at Aira Force, close to Dockray.The lady had sustained a fractered ankle and was in considerable discomfort when the Team arrived on scene.The Team administered pain relief, immobalised and splinted the ankle then carried her by stretcher to the Teams Land Rover ambulance to be transferred to a county ambulance.The rescue was attended by 10 team members and lasted 2 hours."
"Search for over due walker, Hartsop Dodd Area",2014-09-03,Kentmere Valley,NY 45000 07000,"On Wednesday 3rd September 2014 at 2300hrs Patterdale MRT were called by Cumbria Police to search for a lone walker who had failed to return to her car at Cow Bridge carpark after walking in the Hartsop Dodd area.Whilst gathering information from the informant about the intended route it was decided to extend the search area and request the assistance from Penrith & Kendal MRT, along with the Lake District Search and Rescue Dogs. The search continued throughout the night without success. During the early hours a request was made to Cumbria Police and the Air Rescue Coordination Centre (ARCC) at Kinloss for a RAF Seaking helicopter. The helicopter was placed on standby to begin searching the area at first light. At approximately 0615hrs when several of the search dog parties in the Kentmere Valley area were beginning to return after completing their search areas, the woman was located walking down Kentmere after spending the night on the fell. The woman was assessed on scene and found to be in good spirit and transported by to Kendal MRT Base to be reunited with her partner.Patterdale MRT would like to thank everybody involved in the search."
"Capsized Caneoist, Ullswater",2014-09-27,Ullswater,NY 46700 24300,"At 1201hrs Patterdale MRT were alerted by Cumbria Police / HM Coastguard to a capsized canoeist on Ullswater. As the Team were responding to the incident nr Pooley Bridge, confirmation came through that the person had managed to safely swim ashore and was looking forward to a hot cuppa tea and shower."
Medical Support for Duddon & Furness MRT Search,2014-10-07,,NA,A request was received from Duddon and Furness Mountain Rescue Team to provide medical support for an on going search.  It was feared that the casualty might be severely hypothermic when found and it was requested that Patterdale Team's Autopulse (advanced life support equipment) be taken to the area on standy by.  Whilst the Team were assembling the casualty was found uninjured.
